time                     Te                       dTe                       Ti                       dTi                       ne                       dne                       q                        B0                        flux-Te                  flux-Ti                  flux-ne                  cp-flux-Te               cp-flux-Ti               cp-flux-ne
2.009199999999999875e+00 1.088679469296748948e+03 -3.791459870195754775e+03 9.309220032609122200e+02 -3.318913702940727944e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.591519264957850677e+00 -2.476047272727269988e+00 5.331789262108680123e+04 1.086013560225099936e+05 3.795331084788156826e+19 1.926088529814915266e+06 3.413538236543195322e+06 1.354945665707155915e+21
2.010200000000000209e+00 1.076720388373316837e+03 -3.889817611420085086e+03 9.093091862197991304e+02 -3.298187477681131895e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.591669850011129927e+00 -2.476047272727269988e+00 5.506799988518290047e+04 1.108594053785989963e+05 3.907983013631770624e+19 1.960247961474031443e+06 3.434198289200821891e+06 1.355021494522397327e+21
2.012199999999999989e+00 1.054353632814765888e+03 -4.008313054113249564e+03 8.723026042142224696e+02 -3.221906069003935045e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.592088040149264749e+00 -2.476047272727269988e+00 5.688922504709820350e+04 1.130198717534339958e+05 4.007000254536645018e+19 2.013152297143910779e+06 3.428421041861501522e+06 1.355017866460828271e+21
2.014200000000000212e+00 1.035192616483956044e+03 -4.061999134989809590e+03 8.419720027096332160e+02 -3.128754399205021400e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.593067603702137180e+00 -2.476047272727269988e+00 5.802065764720649895e+04 1.125017713448090071e+05 4.058731919634046976e+19 2.011318956560332794e+06 3.384744827186086681e+06 1.354907224226647507e+21
2.016199999999999992e+00 1.017906021616569546e+03 -4.079302757253158688e+03 8.153987132462117415e+02 -3.030503109881273758e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.594178137327760592e+00 -2.476047272727269988e+00 5.949900195989430358e+04 1.127571563200179953e+05 4.095177921731825664e+19 2.032423154235212831e+06 3.374497530189377256e+06 1.354717009552039215e+21
2.018200000000000216e+00 1.001909008354970979e+03 -4.074622575559880261e+03 7.912697665659004542e+02 -2.931609125920705992e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.595368409759042816e+00 -2.476047272727269988e+00 6.075344286807940080e+04 1.130344472611520032e+05 4.107882918232326963e+19 2.053367039575377712e+06 3.369806921112210024e+06 1.354472270940762014e+21
2.020199999999999996e+00 9.869054036706781972e+02 -4.056118967655439974e+03 7.690341824176393857e+02 -2.834448746154111632e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.596609406817523169e+00 -2.476047272727269988e+00 6.163706699568779732e+04 1.128870052624819946e+05 4.123042925507579085e+19 2.067355479890728835e+06 3.356452451519342139e+06 1.354189417880993137e+21
2.022200000000000220e+00 9.725847568015586830e+02 -4.028399752592181358e+03 7.483417728780055995e+02 -2.740181268150595315e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.597875778476635311e+00 -2.476047272727269988e+00 6.239163898580239766e+04 1.124336367749369965e+05 4.078153997376025395e+19 2.079752733731837012e+06 3.336532682942809071e+06 1.353881866472778367e+21
2.024199999999999999e+00 9.587545780910111262e+02 -3.994287765545149341e+03 7.290152427905741206e+02 -2.649597282748673933e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.599153509590424349e+00 -2.476047272727269988e+00 6.300591650615150138e+04 1.116433184301419969e+05 4.022835328782550630e+19 2.089470990458086831e+06 3.308857344275705982e+06 1.353558345081281577e+21
2.026199999999999779e+00 9.453709656215501127e+02 -3.955810382573466541e+03 7.109894496626607179e+02 -2.563376311686032750e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.600430860973941716e+00 -2.476047272727269988e+00 6.335278593967710185e+04 1.104855417387439957e+05 3.955362945461527347e+19 2.092617647383052856e+06 3.272528247512312140e+06 1.353225748941290865e+21
2.028200000000000003e+00 9.323858870684751992e+02 -3.914308472392334352e+03 6.942682469231514233e+02 -2.482161873578092582e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.601694637881226679e+00 -2.476047272727269988e+00 6.352310963503790117e+04 1.089467856702239951e+05 3.874344433760254362e+19 2.091479480730100069e+06 3.227197296752971131e+06 1.352890487321807028e+21
2.030199999999999783e+00 9.198766477722658692e+02 -3.871066905678561398e+03 6.788389318030189088e+02 -2.406363228290178540e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.602933157557937971e+00 -2.476047272727269988e+00 6.335433258770169778e+04 1.071450243977820064e+05 3.820431937762794701e+19 2.081514365250995848e+06 3.175866114072990138e+06 1.352557877224878637e+21
2.032200000000000006e+00 9.078781883166618627e+02 -3.827013063903524653e+03 6.646764577495154072e+02 -2.336185859589732900e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.604134431686776718e+00 -2.476047272727269988e+00 6.295830035872170265e+04 1.051760584362929949e+05 3.778310584152681677e+19 2.065745936762447003e+06 3.120924356654740404e+06 1.352232815327490343e+21
2.034199999999999786e+00 8.964001980228588309e+02 -3.782819540100304039e+03 6.517141864179254753e+02 -2.271569904993615637e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.605289962187235631e+00 -2.476047272727269988e+00 6.241283221230190247e+04 1.031776265650980058e+05 3.709901554860761088e+19 2.046262208859963110e+06 3.065809284652621020e+06 1.351918778714257883e+21
2.036200000000000010e+00 8.854686491312525050e+02 -3.739067860373665098e+03 6.399362993332645146e+02 -2.212543931048365721e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.606395366585023243e+00 -2.476047272727269988e+00 6.171328959091939760e+04 1.010882671800870012e+05 3.622729336820518912e+19 2.022905075514278142e+06 3.008895278733190615e+06 1.351617803720530854e+21
2.039200000000000124e+00 8.701893952792373739e+02 -3.675483649236262863e+03 6.245243946197169862e+02 -2.134829278804062142e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.607445288623459589e+00 -2.476047272727269988e+00 6.077082396335760131e+04 9.888161053131190420e+04 3.519938419252001997e+19 1.981945855345848249e+06 2.916943506694058422e+06 1.351331964233999450e+21
2.042199999999999793e+00 8.564904298454625859e+02 -3.615969547174060608e+03 6.115811438778093816e+02 -2.069186054897356826e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.608856055324956458e+00 -2.476047272727269988e+00 5.899943994300110353e+04 9.558501566440130409e+04 3.424882079684086989e+19 1.929214077026452171e+06 2.834044735608748626e+06 1.350938101418848944e+21
2.046199999999999797e+00 8.402814514594268758e+02 -3.543026297916524527e+03 5.976101893161180669e+02 -1.998171594872023888e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.610113298357564116e+00 -2.476047272727269988e+00 5.733861773139880097e+04 9.259153861990799487e+04 3.305659927822737818e+19 1.870885043420758331e+06 2.737478781907928642e+06 1.350587732218368492e+21
2.051200000000000134e+00 8.227678357656218395e+02 -3.461504422042611168e+03 5.842854941229583119e+02 -1.930622234411650652e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.611553414104613502e+00 -2.476047272727269988e+00 5.546918293347390136e+04 8.926391536389550311e+04 3.181628566822715802e+19 1.808519579190756194e+06 2.642962061240253504e+06 1.350183183387500478e+21
2.061199999999999921e+00 8.009366543950349069e+02 -3.346822864832356572e+03 5.714052023637185584e+02 -1.861789079948395738e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.613047292431469160e+00 -2.476047272727269988e+00 5.333392678111750138e+04 8.561109895120699366e+04 3.071117903794089984e+19 1.726644339083822444e+06 2.533806809799879324e+06 1.349763032614222430e+21
2.071200000000000152e+00 7.838800301911593351e+02 -3.259027609964848580e+03 5.637206465484065347e+02 -1.823410237876380734e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.614844825035091969e+00 -2.476047272727269988e+00 5.062648768153689889e+04 8.166931923940780689e+04 2.967025833765221990e+19 1.656498286614814308e+06 2.458071910561313387e+06 1.349242065318613615e+21
2.081199999999999939e+00 7.713105637485529087e+02 -3.193504737621508866e+03 5.600738354747334142e+02 -1.805997522841464615e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.616131075933974870e+00 -2.476047272727269988e+00 4.834653916201650281e+04 7.865344241312940721e+04 2.844786700226564915e+19 1.597631162411634345e+06 2.397575751804525498e+06 1.348879276744284045e+21
2.091200000000000170e+00 7.627049959546915261e+02 -3.146851859925953249e+03 5.593152916515742845e+02 -1.803015715716521754e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.617007478886275607e+00 -2.476047272727269988e+00 4.648254039804090280e+04 7.639222542686969973e+04 2.701267780592415949e+19 1.550106880879136501e+06 2.350747735631456599e+06 1.348640337846272000e+21
2.101199999999999957e+00 7.574704293196356275e+02 -3.116237867614345760e+03 5.605754236898277441e+02 -1.809845558277031841e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.617560658184465261e+00 -2.476047272727269988e+00 4.497587462001550011e+04 7.470196114076279628e+04 2.591216719604461158e+19 1.512393398625515401e+06 2.314685840441453736e+06 1.348497567881975562e+21
2.111200000000000188e+00 7.551574711558012041e+02 -3.099652687999065620e+03 5.632451558523418953e+02 -1.823330548917167789e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.617860825797001301e+00 -2.476047272727269988e+00 4.369790780873820040e+04 7.342703216593340039e+04 2.505430507260345958e+19 1.481106924517906271e+06 2.286781304911042564e+06 1.348429368053269791e+21
2.121199999999999974e+00 7.551748242330559151e+02 -3.094540243898649805e+03 5.668694177756323143e+02 -1.841148066482683817e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.617957918879924240e+00 -2.476047272727269988e+00 4.269902123978330201e+04 7.248392054773570271e+04 2.434932648888727962e+19 1.457306951624804409e+06 2.265706338325420860e+06 1.348420781055224054e+21
2.131200000000000205e+00 7.570530524591795256e+02 -3.098760617993837059e+03 5.711438422423786960e+02 -1.861801976856898818e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.617900227554733394e+00 -2.476047272727269988e+00 4.190880799347889842e+04 7.177467798524540558e+04 2.365373252996109107e+19 1.439071213173924480e+06 2.249670930242228787e+06 1.348457514589652517e+21
2.141199999999999992e+00 7.603847646619418583e+02 -3.110407138812865924e+03 5.759013301928561077e+02 -1.884477692768839688e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.617723831792230449e+00 -2.476047272727269988e+00 4.129505467941929965e+04 7.120993631893000565e+04 2.294510838038215066e+19 1.425492384476775536e+06 2.236920239038371947e+06 1.348529030581133246e+21
2.151199999999999779e+00 7.647905650083458795e+02 -3.127657542637015013e+03 5.809055422206015464e+02 -1.908109828317298934e+03 3.931079197937722163e+19 -5.901351092055170048e+18 3.617455695654125503e+00 -2.476047272727269988e+00 4.085225614770260290e+04 7.082526448569500644e+04 2.228950753245082010e+19 1.416370671081999550e+06 2.228202920241266955e+06 1.348627484174351335e+21
