time                     Te-source-int-ft1        Te-source-int-ft2        Te-source-int-ft3        Te-source-int-ft4        Te-source-int-ft5        Te-source-int-ft6        Te-source-int-ft7        Te-source-int-ft8        Ti-source-int-ft1        Ti-source-int-ft2        Ti-source-int-ft3        Ti-source-int-ft4        Ti-source-int-ft5        Ti-source-int-ft6        Ti-source-int-ft7        Ti-source-int-ft8        dvdrho1                  dvdrho2                  dvdrho3                  dvdrho4                  dvdrho5                  dvdrho6                  dvdrho7                  dvdrho8                  surfaceA1                surfaceA2                surfaceA3                surfaceA4                surfaceA5                surfaceA6                surfaceA7                surfaceA8                gm7-ft1                  gm7-ft2                  gm7-ft3                  gm7-ft4                  gm7-ft5                  gm7-ft6                  gm7-ft7                  gm7-ft8
1.104999999999999982e+00 1.295717862040660548e+05 5.539157548157640267e+05 1.016998468639775994e+06 1.443629861704330891e+06 1.806096561433355790e+06 2.101714894935395103e+06 2.345191697390295099e+06 2.585735719966244884e+06 1.291503305092677183e+05 5.515073382760875393e+05 1.010784674374256050e+06 1.430725898092320655e+06 1.781372196377734188e+06 2.054748649221178610e+06 2.249921583105760626e+06 2.333783061553435866e+06 7.784988313470180721e+00 1.629464123587973745e+01 2.250245802788026950e+01 2.720826979778308896e+01 3.067909637166175685e+01 3.312928536816419722e+01 3.483477219652604617e+01 3.605647571248949390e+01 8.125223347513752969e+00 1.725864604336788943e+01 2.432720892328543272e+01 3.007576041670175471e+01 3.467131609117270585e+01 3.825176606058196427e+01 4.111204192973392679e+01 4.363827513055264262e+01 1.043696270257400860e+00 1.059163437320833845e+00 1.081084248821591265e+00 1.105389594859695457e+00 1.130118135574135430e+00 1.154609719422003966e+00 1.180188390840961832e+00 1.210612809230423359e+00
1.114999999999999991e+00 1.296084211688869837e+05 5.540384238014850998e+05 1.017003554887890583e+06 1.443721465154465754e+06 1.807286041845160536e+06 2.103276195678655989e+06 2.343600540737797040e+06 2.580907918595114257e+06 1.291451906360456487e+05 5.514457186506742146e+05 1.010431141296709888e+06 1.430277982132340549e+06 1.781867800064412644e+06 2.055429888596002245e+06 2.246875780904161278e+06 2.326080118489713408e+06 7.785300950039777845e+00 1.629494171763148103e+01 2.250357085255332379e+01 2.721051112387857884e+01 3.067907925702497351e+01 3.312812661768115419e+01 3.483413374970773901e+01 3.605627747310152387e+01 8.124005200310923769e+00 1.725628732075903571e+01 2.432426922535457336e+01 3.007294854450114840e+01 3.466874496014036566e+01 3.824926476780381535e+01 4.110901749657327997e+01 4.363204711839942007e+01 1.043497519022952957e+00 1.058999128244410892e+00 1.080900177741626722e+00 1.105195174914934686e+00 1.130035523369888661e+00 1.154574814794539606e+00 1.180129396562165534e+00 1.210449290249909771e+00
1.125000000000000000e+00 1.296137483918734652e+05 5.540652292095947778e+05 1.017223769619177561e+06 1.444014247274588794e+06 1.806912686646607704e+06 2.102774267224168405e+06 2.345185984812974464e+06 2.583917435715538915e+06 1.291249290591667377e+05 5.513602363230929477e+05 1.010437450351906708e+06 1.430248609933496453e+06 1.781047165542272618e+06 2.054391486171570141e+06 2.248107402729223948e+06 2.329397160515838303e+06 7.785433855795633740e+00 1.629543435934012763e+01 2.250376287379354778e+01 2.721023483933933917e+01 3.068072524295677894e+01 3.313044061295183695e+01 3.483539438608497107e+01 3.605655707812404387e+01 8.122743559422424653e+00 1.725399381593769732e+01 2.432152112811626665e+01 3.007008527673857756e+01 3.466634145609420870e+01 3.824739095388203225e+01 4.110672665411250648e+01 4.362639861479214431e+01 1.043317581039171937e+00 1.058826340920286269e+00 1.080768806269883475e+00 1.105101215029714368e+00 1.129896318099988806e+00 1.154438086115606055e+00 1.180022765295697829e+00 1.210264884932974683e+00
1.135000000000000009e+00 1.296251503854810289e+05 5.541263653037911281e+05 1.017216195159741212e+06 1.444010527138150530e+06 1.807441929574168520e+06 2.103413388890829869e+06 2.344550365988472477e+06 2.582860074793332256e+06 1.291207888108884508e+05 5.513529849779782817e+05 1.010296185973361484e+06 1.430043370893377345e+06 1.781321499114493607e+06 2.054706033806805732e+06 2.246930161490046885e+06 2.327523170959523879e+06 7.785647460572518774e+00 1.629566666057014146e+01 2.250446481813487765e+01 2.721157617567870801e+01 3.068109055660144691e+01 3.313063099717419391e+01 3.483601244395689633e+01 3.605715993586942147e+01 8.121640230198256205e+00 1.725197393244150845e+01 2.431919830521464121e+01 3.006799066345409344e+01 3.466466041725739444e+01 3.824597658296041658e+01 4.110481248159606338e+01 4.362115861451464127e+01 1.043147188694349747e+00 1.058687277209868105e+00 1.080631888949551422e+00 1.104969719727209698e+00 1.129828361419090266e+00 1.154388616713238225e+00 1.179948539593505208e+00 1.210081546805662711e+00
1.145000000000000018e+00 1.296297117084380006e+05 5.541288628733522492e+05 1.017312946365259471e+06 1.444161886236647144e+06 1.807266943526884308e+06 2.103236564410686959e+06 2.345192937659734860e+06 2.583361347513698507e+06 1.291158228802517988e+05 5.513134711123240413e+05 1.010313202290718909e+06 1.430074746240234235e+06 1.780976800924646668e+06 2.054327623270431533e+06 2.247442647055933252e+06 2.327996874952378683e+06 7.785784694747621693e+00 1.629608788469773017e+01 2.250484273679232317e+01 2.721183778840913092e+01 3.068237654400276426e+01 3.313207408397116893e+01 3.483677874231642591e+01 3.605782928944273635e+01 8.120609132978678701e+00 1.725016661803597984e+01 2.431715102256770678e+01 3.006604378819649881e+01 3.466322172430818682e+01 3.824496365088222660e+01 4.110327869713026416e+01 4.361628743477582759e+01 1.042996312973264450e+00 1.058548982178157072e+00 1.080522748627255059e+00 1.104887595460434691e+00 1.129734037963685989e+00 1.154308113734709540e+00 1.179880273975660865e+00 1.209906927598721760e+00
1.155000000000000027e+00 1.296322355135140533e+05 5.541592095524144825e+05 1.017304770528097986e+06 1.444138851497736992e+06 1.807501458741273033e+06 2.103472829375086352e+06 2.344954916251809336e+06 2.583478048710839823e+06 1.291125223965660261e+05 5.513183037758331047e+05 1.010254836155441706e+06 1.429975854870980140e+06 1.781117561826461460e+06 2.054443740611229790e+06 2.247011454322533682e+06 2.328005773920012638e+06 7.785962266913466046e+00 1.629633200510621904e+01 2.250537438178190541e+01 2.721275018434711512e+01 3.068293993515816354e+01 3.313277266796104215e+01 3.483774132771911525e+01 3.605886454966189092e+01 8.119685487328478501e+00 1.724854294232216390e+01 2.431535718380902011e+01 3.006452744880978400e+01 3.466218399160693764e+01 3.824423806440600515e+01 4.110201431926505933e+01 4.361172790103564267e+01 1.042853854918435408e+00 1.058433473007079684e+00 1.080417517385781956e+00 1.104794783058848706e+00 1.129679631658540684e+00 1.154261818856935795e+00 1.179812970491003643e+00 1.209729238648606486e+00
1.165000000000000036e+00 1.296354401078456576e+05 5.541551653108972823e+05 1.017346170173231163e+06 1.444214455426141853e+06 1.807417252494267654e+06 2.103427334178347141e+06 2.345193912549959961e+06 2.583234101897289976e+06 1.291121606642218831e+05 5.512984058380947681e+05 1.010266294730563066e+06 1.430006500911223702e+06 1.780968379286383511e+06 2.054323056297572795e+06 2.247200837928962428e+06 2.327669596028629690e+06 7.786097825731238764e+00 1.629669585829008582e+01 2.250580159676204772e+01 2.721323219359435086e+01 3.068400480389755458e+01 3.313385213537140572e+01 3.483842745209884839e+01 3.605987017679948536e+01 8.118834630423375387e+00 1.724710505324761556e+01 2.431381911235413540e+01 3.006321974839174871e+01 3.466140996506850058e+01 3.824382590154968398e+01 4.110101681616428237e+01 4.360744108558919407e+01 1.042726379584451468e+00 1.058321586175245077e+00 1.080328649456560708e+00 1.104727194270324730e+00 1.129615199992704877e+00 1.154212019561444258e+00 1.179762707557424628e+00 1.209560825098429548e+00
1.175000000000000044e+00 1.296350699948482215e+05 5.541697135656063911e+05 1.017339137025804957e+06 1.444192538960706443e+06 1.807518838712540455e+06 2.103496635059632361e+06 2.345115261741718743e+06 2.583589819720630534e+06 1.291095897597277653e+05 5.513033920362063218e+05 1.010240323583721300e+06 1.429955940160105238e+06 1.781035862281236565e+06 2.054348542163389735e+06 2.247061517147246748e+06 2.328127462278103922e+06 7.786253140977637877e+00 1.629694867871412711e+01 2.250626022762363831e+01 2.721394548487106491e+01 3.068466927514127462e+01 3.313472353633672896e+01 3.483945298604317031e+01 3.606115917894859990e+01 8.118063730337068407e+00 1.724580597084271361e+01 2.431245893692394233e+01 3.006218343512786717e+01 3.466088624396348905e+01 3.824361276184770020e+01 4.110021539425702031e+01 4.360339326776118440e+01 1.042606542711508322e+00 1.058225436551108345e+00 1.080246195044018531e+00 1.104660119707389976e+00 1.129573762634642708e+00 1.154175236302299457e+00 1.179706489398664626e+00 1.209390141387683748e+00
1.185000000000000053e+00 1.296370208337240620e+05 5.541647637731698342e+05 1.017355707262775511e+06 1.444228420226997696e+06 1.807476499402397079e+06 2.103497026009264868e+06 2.345188126216741744e+06 2.583225656901504379e+06 1.291102008426455868e+05 5.512924204132908490e+05 1.010245618433344527e+06 1.429975002370156581e+06 1.780968705678018741e+06 2.054322044292698847e+06 2.247116209387202747e+06 2.327695488330046646e+06 7.786385258964200418e+00 1.629727247968454407e+01 2.250668970913569922e+01 2.721450491386901760e+01 3.068559521761451592e+01 3.313564973575855532e+01 3.484017526554244171e+01 3.606241186245734553e+01 8.117358459279193639e+00 1.724465977696187835e+01 2.431131031311028678e+01 3.006134572804029403e+01 3.466059161813901568e+01 3.824363227774271223e+01 4.109960181085119046e+01 4.359955272754795175e+01 1.042498247197017669e+00 1.058134058518772402e+00 1.080174531518133474e+00 1.104606652208077966e+00 1.129530107978204301e+00 1.154143734395850940e+00 1.179665914223358980e+00 1.209227143482723088e+00
1.195000000000000062e+00 1.296359553396718402e+05 5.541712372359080473e+05 1.017349829932647524e+06 1.444211598984578392e+06 1.807518097982022213e+06 2.103502728954736609e+06 2.345167484702121466e+06 2.583529381250543986e+06 1.291082997083131049e+05 5.512953168211614247e+05 1.010232617584363325e+06 1.429947470445268089e+06 1.780998403544867411e+06 2.054312786951360991e+06 2.247084000522293150e+06 2.328138851970634423e+06 7.786526666060197499e+00 1.629752940827377472e+01 2.250711415370775725e+01 2.721512486368308714e+01 3.068630305793925572e+01 3.313655433774521697e+01 3.484117423122447832e+01 3.606385466593108191e+01 8.116716556425950913e+00 1.724362596590129115e+01 2.431030101569357882e+01 3.006069807450217013e+01 3.466047069830052152e+01 3.824379851377001671e+01 4.109913172246228186e+01 4.359589764197249195e+01 1.042396857486769024e+00 1.058053924239547250e+00 1.080109310579970172e+00 1.104557661332528529e+00 1.129500171133240194e+00 1.154117282702335823e+00 1.179620014607370981e+00 1.209063554058756429e+00
1.205000000000000071e+00 1.296369807436940027e+05 5.541668667009390192e+05 1.017355226236390532e+06 1.444226889556373702e+06 1.807494943449527724e+06 2.103513987064796966e+06 2.345176431914974935e+06 2.583228577298070304e+06 1.291088240828157141e+05 5.512886638957069954e+05 1.010233813484476297e+06 1.429956612949676812e+06 1.780966090440725675e+06 2.054315796196878422e+06 2.247088651396519970e+06 2.327811948384591844e+06 7.786654982040601247e+00 1.629782630991308423e+01 2.250753202553243781e+01 2.721570069334380548e+01 3.068713949514355832e+01 3.313741139077912123e+01 3.484194692181698372e+01 3.606527471320656986e+01 8.116131355684741422e+00 1.724271567605372368e+01 2.430946004013251383e+01 3.006021888014980803e+01 3.466053313870799002e+01 3.824413372951217127e+01 4.109879433364669410e+01 4.359240378039305597e+01 1.042304508143223618e+00 1.057978773916797843e+00 1.080051879806512849e+00 1.104516695746444066e+00 1.129471460380133907e+00 1.154097671550438076e+00 1.179585547527449929e+00 1.208905905311880025e+00
1.215000000000000080e+00 1.296359206193749560e+05 5.541692084137501661e+05 1.017350170742057846e+06 1.444214515341840219e+06 1.807509536427674815e+06 2.103499128104927018e+06 2.345172883159568533e+06 2.583424296675817575e+06 1.291074486711784557e+05 5.512896929202140309e+05 1.010226145149763324e+06 1.429940410588447470e+06 1.780977069858365459e+06 2.054297029076849110e+06 2.247090720195781440e+06 2.328134217377082910e+06 7.786787421420754640e+00 1.629808386734859127e+01 2.250793782205371940e+01 2.721627491925393372e+01 3.068785836003434042e+01 3.313829649007156064e+01 3.484290123176628384e+01 3.606681178342638816e+01 8.115598352076805355e+00 1.724189938964406110e+01 2.430873422735919931e+01 3.005988308669784459e+01 3.466072531334035745e+01 3.824458014427595742e+01 4.109856167612363009e+01 4.358905575656883968e+01 1.042218318648080011e+00 1.057911949549040997e+00 1.080000151449452828e+00 1.104481030101028383e+00 1.129451303560367270e+00 1.154080372498724749e+00 1.179547874194022850e+00 1.208749029301692701e+00
1.225000000000000089e+00 1.296363420281662547e+05 5.541656131491143024e+05 1.017350548238073126e+06 1.444219281384354224e+06 1.807495118304824689e+06 2.103508733078372199e+06 2.345160096503681038e+06 2.583213830783106387e+06 1.291076875118744792e+05 5.512852545580111910e+05 1.010225031972980825e+06 1.429943116007527336e+06 1.780959695039861836e+06 2.054305606173224980e+06 2.247080518445044290e+06 2.327932521254391409e+06 7.786912159651497412e+00 1.629836277835708458e+01 2.250834195448013020e+01 2.721684355580815762e+01 3.068863491360106366e+01 3.313911598927877122e+01 3.484371016563088119e+01 3.606833806763213346e+01 8.115113570495411821e+00 1.724118284694223036e+01 2.430814122468839145e+01 3.005968413459534361e+01 3.466105933718083776e+01 3.824514820587712194e+01 4.109842284698769532e+01 4.358583560347938146e+01 1.042139357802752686e+00 1.057849859436541751e+00 1.079954401887554649e+00 1.104450648999956819e+00 1.129433645326010538e+00 1.154069066075764205e+00 1.179517769050550724e+00 1.208596742209444574e+00
1.235000000000000098e+00 1.296354488738708606e+05 5.541658434947279748e+05 1.017346022392048151e+06 1.444209921882332070e+06 1.807497631178310607e+06 2.103489851270804647e+06 2.345158677379119676e+06 2.583318041283965576e+06 1.291066796374851838e+05 5.512850342691371916e+05 1.010219628639400122e+06 1.429932588474097662e+06 1.780961676260625711e+06 2.054287100466619013e+06 2.247090005098748486e+06 2.328141632673097774e+06 7.787038554946038360e+00 1.629861880274862429e+01 2.250873548432840821e+01 2.721739296566339661e+01 3.068934786527762171e+01 3.313996564964674008e+01 3.484462423381594931e+01 3.606993110896223698e+01 8.114672736321846713e+00 1.724054597726245319e+01 2.430764534480715966e+01 3.005959824893114174e+01 3.466149423611538083e+01 3.824580098486665491e+01 4.109835978977848470e+01 4.358273178641386636e+01 1.042065825379491661e+00 1.057794145892940740e+00 1.079913479904030194e+00 1.104425180400463002e+00 1.129421604389359013e+00 1.154059232775433319e+00 1.179486222835043785e+00 1.208446084266193932e+00
1.245000000000000107e+00 1.296355000617870828e+05 5.541628562046114821e+05 1.017344143904305180e+06 1.444209381250300910e+06 1.807487144586632494e+06 2.103494606660707854e+06 2.345140427688775584e+06 2.583179593390878290e+06 1.291066698028607643e+05 5.512817632095579756e+05 1.010217304303939105e+06 1.429931561440528603e+06 1.780950714381043334e+06 2.054293589327158639e+06 2.247077994254034944e+06 2.328035207921494730e+06 7.787160185591199379e+00 1.629888549568141798e+01 2.250912732550791517e+01 2.721794701099999259e+01 3.069008223902246257e+01 3.314075853148178652e+01 3.484545231869629589e+01 3.607151946470331438e+01 8.114272808147381610e+00 1.723999026957993763e+01 2.430725481501915297e+01 3.005962189079753344e+01 3.466203744017072808e+01 3.824654094267773274e+01 4.109836275046635024e+01 4.357973108377322546e+01 1.041998188152171156e+00 1.057742720197159647e+00 1.079877318857492607e+00 1.104403566980996843e+00 1.129412308365099316e+00 1.154054019959650956e+00 1.179459432244283290e+00 1.208299086493282770e+00
