time                     Te-source-int-ft1        Te-source-int-ft2        Te-source-int-ft3        Te-source-int-ft4        Te-source-int-ft5        Te-source-int-ft6        Te-source-int-ft7        Te-source-int-ft8        Ti-source-int-ft1        Ti-source-int-ft2        Ti-source-int-ft3        Ti-source-int-ft4        Ti-source-int-ft5        Ti-source-int-ft6        Ti-source-int-ft7        Ti-source-int-ft8        dvdrho1                  dvdrho2                  dvdrho3                  dvdrho4                  dvdrho5                  dvdrho6                  dvdrho7                  dvdrho8                  surfaceA1                surfaceA2                surfaceA3                surfaceA4                surfaceA5                surfaceA6                surfaceA7                surfaceA8                gm7-ft1                  gm7-ft2                  gm7-ft3                  gm7-ft4                  gm7-ft5                  gm7-ft6                  gm7-ft7                  gm7-ft8
1.104999999999999982e+00 1.295062595192496810e+05 5.536858729211980244e+05 1.016701504876000457e+06 1.443402220359984785e+06 1.806225298300570576e+06 2.102950806154869031e+06 2.348930068695245776e+06 2.595777696045592427e+06 1.290388894110748370e+05 5.510332311818322632e+05 1.009889625386204221e+06 1.429292656876560533e+06 1.779214765881628031e+06 2.051624045705656987e+06 2.244714672679803334e+06 2.321894478269150481e+06 7.782252944148201124e+00 1.628977533505631570e+01 2.249790541657715082e+01 2.720717274896603399e+01 3.068402821760878751e+01 3.314174781768117839e+01 3.485642589787907752e+01 3.608958768619878299e+01 8.123841020188590889e+00 1.725586580095572131e+01 2.432357944219615931e+01 3.007199751004793598e+01 3.466800416230046977e+01 3.824927190317091430e+01 4.111059355715394759e+01 4.363799682997814244e+01 1.043885163299151930e+00 1.059309151759088019e+00 1.081141716780561257e+00 1.105295862708747912e+00 1.129828681449755123e+00 1.154100890510038502e+00 1.179418583077764815e+00 1.209512955054018457e+00
1.114999999999999991e+00 1.295418339216313616e+05 5.537832135214300361e+05 1.016630306316344300e+06 1.443461286375648575e+06 1.807482860763621517e+06 2.104393526290288661e+06 2.346962569323334377e+06 2.591055796677538659e+06 1.290393404146535177e+05 5.509760113100750605e+05 1.009518243919708766e+06 1.428904555490994127e+06 1.779909811454242328e+06 2.052340192846538965e+06 2.241419528263416141e+06 2.314498171327472664e+06 7.782508423653890617e+00 1.628996771050609027e+01 2.249911320329393760e+01 2.720935089280273544e+01 3.068384824438640379e+01 3.314073426324341654e+01 3.485619640270046204e+01 3.608955436802366279e+01 8.122530399715587990e+00 1.725337454897451295e+01 2.432067196923288677e+01 3.006929532985066089e+01 3.466558364019321914e+01 3.824698270505830777e+01 4.110781494166178618e+01 4.363186112449733400e+01 1.043682421861542364e+00 1.059143688237227154e+00 1.080954489389606588e+00 1.105107998498490396e+00 1.129756953589011736e+00 1.154066829873398925e+00 1.179348361645216725e+00 1.209324985727444401e+00
1.125000000000000000e+00 1.295415252444540529e+05 5.538007251353327883e+05 1.016855735792838736e+06 1.443703135576803004e+06 1.806960916063074255e+06 2.103850049076575786e+06 2.348609680188195314e+06 2.593684894807501230e+06 1.290180332720154547e+05 5.509020919428294292e+05 1.009571487400767393e+06 1.428887751076557441e+06 1.779024744594365126e+06 2.051378336121557280e+06 2.242892804344892502e+06 2.317582706731975544e+06 7.782652493043213937e+00 1.629049522043588993e+01 2.249924242106050087e+01 2.720914054143642247e+01 3.068562024405685662e+01 3.314297880847003341e+01 3.485727544657176935e+01 3.608978544285104562e+01 8.121282270634299749e+00 1.725111455051337117e+01 2.431795604033766978e+01 3.006647603510466382e+01 3.466325416403743276e+01 3.824518439198659081e+01 4.110557871048331435e+01 4.362623279371748453e+01 1.043502656018988395e+00 1.058970635087888024e+00 1.080827526732589750e+00 1.105013003945860106e+00 1.129615564762471713e+00 1.153934923003314905e+00 1.179249546263560156e+00 1.209143069636097412e+00
1.135000000000000009e+00 1.295533018635939225e+05 5.538537235147950705e+05 1.016812059378132108e+06 1.443684326335353078e+06 1.807522803586158203e+06 2.104421599475014955e+06 2.347848514437236357e+06 2.592831299340826925e+06 1.290174591006795672e+05 5.509009178629512899e+05 1.009421808670166763e+06 1.428710999066441320e+06 1.779393737305727089e+06 2.051697788634151919e+06 2.241662170655354857e+06 2.316084632866229396e+06 7.782860532078014870e+00 1.629070045945504219e+01 2.249998904757029905e+01 2.721042880297077815e+01 3.068590228950319698e+01 3.314322610526721036e+01 3.485801712987024104e+01 3.609044816560922442e+01 8.120182371409031319e+00 1.724910245645825313e+01 2.431566006471135211e+01 3.006441857014002750e+01 3.466160597130024001e+01 3.824381044460102430e+01 4.110370699875651468e+01 4.362101060000205166e+01 1.043333386856648115e+00 1.058833762979133120e+00 1.080689635298647255e+00 1.104885002208168432e+00 1.129551752473582082e+00 1.153884690481709940e+00 1.179172411850724078e+00 1.208958541255899188e+00
1.145000000000000018e+00 1.295555788827070501e+05 5.538512109635418747e+05 1.016914818047494511e+06 1.443815939116667956e+06 1.807284384741418529e+06 2.104242964497497771e+06 2.348488159244111739e+06 2.593044190930197947e+06 1.290123426349529909e+05 5.508660223560562590e+05 1.009464078058113693e+06 1.428751753695125459e+06 1.779023911354288924e+06 2.051371533744179411e+06 2.242246598382426891e+06 2.316291648745728657e+06 7.783003489213082382e+00 1.629114599099625238e+01 2.250033581528724014e+01 2.721073045186514960e+01 3.068723539769694142e+01 3.314460903479609755e+01 3.485868595205451470e+01 3.609110088988914811e+01 8.119161721613876281e+00 1.724732174705694021e+01 2.431364272541532401e+01 3.006251120616432004e+01 3.466022389850824936e+01 3.824285259489979438e+01 4.110221321098369174e+01 4.361615269013763907e+01 1.043183030505200115e+00 1.058695475878127290e+00 1.080583292220022251e+00 1.104802722482435051e+00 1.129457576718492229e+00 1.153808008659953366e+00 1.179108652270406621e+00 1.208785176378561310e+00
1.155000000000000027e+00 1.295582198413319275e+05 5.538794836158994585e+05 1.016889600074441405e+06 1.443786708894657902e+06 1.807533671859504655e+06 2.104438687903687358e+06 2.348220061447120737e+06 2.593335040596457198e+06 1.290106082495481241e+05 5.508752430065132212e+05 1.009401188585017691e+06 1.428666424845790956e+06 1.779207762688655406e+06 2.051480384816182079e+06 2.241826123129815329e+06 2.316598639590963721e+06 7.783180361815394299e+00 1.629137365001833970e+01 2.250088911230112743e+01 2.721160683430932181e+01 3.068776264100483075e+01 3.314534557624117639e+01 3.485970518372177906e+01 3.609216683989753705e+01 8.118243370242964829e+00 1.724570873471185450e+01 2.431187217442127491e+01 3.006102596821539663e+01 3.465921753430338725e+01 3.824216348043653113e+01 4.110098181736555745e+01 4.361160446473144248e+01 1.043041293018022397e+00 1.058581652797444095e+00 1.080478038331052826e+00 1.104712497865902643e+00 1.129405528998247865e+00 1.153761513403005035e+00 1.179040437317037338e+00 1.208607126019439537e+00
1.165000000000000036e+00 1.295607075344651385e+05 5.538729355581295677e+05 1.016935983583933092e+06 1.443855272535848431e+06 1.807424573618580587e+06 2.104404497706947383e+06 2.348441428481620736e+06 2.592903346554495394e+06 1.290104845038050407e+05 5.508571255199804436e+05 1.009426224439119571e+06 1.428702989749560831e+06 1.779050701178912306e+06 2.051395393226325046e+06 2.242027911019519903e+06 2.316063472023925278e+06 7.783318902234574566e+00 1.629175323432709277e+01 2.250130058017313672e+01 2.721211326172863565e+01 3.068884085071519507e+01 3.314637990169025272e+01 3.486033878453510937e+01 3.609317051620265460e+01 8.117400913087989167e+00 1.724429199235385113e+01 2.431036014637351883e+01 3.005975221571208778e+01 3.465848755533212966e+01 3.824179270552642862e+01 4.110001367146760032e+01 4.360732582214613018e+01 1.042914449491245010e+00 1.058470004645286178e+00 1.080391060979060569e+00 1.104645176879675006e+00 1.129342070978481605e+00 1.153714570771524617e+00 1.178992836438363057e+00 1.208439347981173473e+00
1.175000000000000044e+00 1.295603615742243128e+05 5.538877122867624275e+05 1.016921364913896890e+06 1.443831891372780083e+06 1.807532979962933110e+06 2.104449728152767289e+06 2.348364650238012429e+06 2.593376307049012743e+06 1.290085772856641852e+05 5.508652079859829973e+05 1.009398202818861697e+06 1.428659772778191138e+06 1.779137769753063330e+06 2.051412000064544380e+06 2.241913919442632236e+06 2.316720644170539454e+06 7.783475562997518971e+00 1.629199674032582834e+01 2.250176984439630701e+01 2.721280231055455801e+01 3.068948967205269795e+01 3.314727339792121086e+01 3.486138733969816883e+01 3.609447743668962971e+01 8.116635995558707961e+00 1.724300472113449700e+01 2.430902077073184842e+01 3.005874266618675250e+01 3.465799237878116656e+01 3.824161074264294058e+01 4.109923720199375197e+01 4.360328459804797774e+01 1.042795155622993075e+00 1.058375152834228672e+00 1.080309005162819247e+00 1.104580059334439701e+00 1.129302145232758736e+00 1.153677984361014097e+00 1.178936607500504330e+00 1.208268605048093747e+00
1.185000000000000053e+00 1.295622467298316187e+05 5.538816625284786569e+05 1.016941743973817909e+06 1.443865790282539790e+06 1.807482388257217593e+06 2.104463004319448490e+06 2.348420845333994832e+06 2.592900011223104782e+06 1.290095428975916002e+05 5.508550107799724210e+05 1.009411094938412076e+06 1.428682557308458025e+06 1.779069910658382345e+06 2.051409596039986704e+06 2.241964067890928127e+06 2.316164679803959560e+06 7.783609403598068965e+00 1.629233047493791986e+01 2.250219096758473469e+01 2.721337608526642882e+01 3.069041544201693128e+01 3.314816812976435756e+01 3.486208144282404220e+01 3.609573553083848907e+01 8.115937790234131199e+00 1.724187570138677472e+01 2.430789431933742506e+01 3.005793354745805956e+01 3.465773244587381186e+01 3.824166190878581517e+01 4.109864496769678510e+01 4.359944842493712258e+01 1.042687495839271339e+00 1.058284152708411252e+00 1.080238710427825488e+00 1.104527067147703878e+00 1.129259649663491683e+00 1.153648555616784144e+00 1.178897632305921928e+00 1.208105890701051788e+00
1.195000000000000062e+00 1.295611944416086772e+05 5.538890698866568273e+05 1.016932800619639107e+06 1.443849684320417931e+06 1.807527418256999692e+06 2.104454975594117772e+06 2.348409994156561326e+06 2.593273145864250138e+06 1.290079342034781585e+05 5.508601058485038811e+05 1.009397463864992489e+06 1.428659677298848983e+06 1.779108840223193634e+06 2.051393730351507431e+06 2.241955713842936791e+06 2.316730235745717306e+06 7.783752767454286570e+00 1.629258241485265657e+01 2.250262077360888924e+01 2.721398003055190884e+01 3.069111628762117050e+01 3.314908390680867711e+01 3.486308749962628184e+01 3.609719126593176242e+01 8.115301876005748483e+00 1.724085368401160423e+01 2.430690360512626214e+01 3.005730912309282843e+01 3.465763673082163621e+01 3.824185396658360503e+01 4.109819324774964144e+01 4.359579649425044323e+01 1.042586574567387681e+00 1.058205038875477566e+00 1.080174045011881745e+00 1.104479573260117808e+00 1.129230796954497684e+00 1.153622517468232189e+00 1.178852063229031133e+00 1.207942304908017128e+00
