Ti-ft1 Ti-ft2 Ti-ft3 Ti-ft4 Ti-ft5 Ti-ft6 Ti-ft7 Ti-ft8 Te-ft1 Te-ft2 Te-ft3 Te-ft4 Te-ft5 Te-ft6 Te-ft7 Te-ft8 dTi-ft1 dTi-ft2 dTi-ft3 dTi-ft4 dTi-ft5 dTi-ft6 dTi-ft7 dTi-ft8 dTe-ft1 dTe-ft2 dTe-ft3 dTe-ft4 dTe-ft5 dTe-ft6 dTe-ft7 dTe-ft8 flux-Te-ft1 flux-Te-ft2 flux-Te-ft3 flux-Te-ft4 flux-Te-ft5 flux-Te-ft6 flux-Te-ft7 flux-Te-ft8 flux-Ti-ft1 flux-Ti-ft2 flux-Ti-ft3 flux-Ti-ft4 flux-Ti-ft5 flux-Ti-ft6 flux-Ti-ft7 flux-Ti-ft8 diff-Te-ft1 diff-Te-ft2 diff-Te-ft3 diff-Te-ft4 diff-Te-ft5 diff-Te-ft6 diff-Te-ft7 diff-Te-ft8 diff-Ti-ft1 diff-Ti-ft2 diff-Ti-ft3 diff-Ti-ft4 diff-Ti-ft5 diff-Ti-ft6 diff-Ti-ft7 diff-Ti-ft8 vconv-Te-ft1 vconv-Te-ft2 vconv-Te-ft3 vconv-Te-ft4 vconv-Te-ft5 vconv-Te-ft6 vconv-Te-ft7 vconv-Te-ft8 vconv-Ti-ft1 vconv-Ti-ft2 vconv-Ti-ft3 vconv-Ti-ft4 vconv-Ti-ft5 vconv-Ti-ft6 vconv-Ti-ft7 vconv-Ti-ft8
1657.41243963606 1458.23206332162 1274.02079713018 1071.96804544286 866.200106122642 661.988336756541 462.243225651586 204.20463683608 1552.47579981981 1382.55465265568 1213.20732023817 1032.71289885159 848.938633181157 666.161577262691 487.508629545809 260.580773504796 -1764.00463408021 -1738.88974902004 -2222.41528927365 -2508.16062634251 -2757.46437997066 -2999.76800900724 -3287.95791759941 -3766.6840842961 -1213.41862827931 -1672.49108317493 -1993.53469835362 -2238.40053223311 -2465.26276721855 -2686.40915183448 -2932.04521352858 -3216.98237426234 64761.4044561552 54363.1529698216 84327.307094723 97438.4487234252 108006.109945163 114843.277288095 119735.673248381 122848.433476337 19552.4869173791 52126.3709825579 75396.4848223599 86916.2775036999 96658.305899902 102966.132350126 106784.997854716 105654.200379104 4.68897554491623 4.06706668341044 4.82652948717494 4.84651717290421 4.75505639776699 4.48055627125342 4.02257165629736 3.26718103062465 2.06904131876192 4.04838241484122 4.81657845056123 4.84399242161235 4.75982555111517 4.48574600000772 4.02384296853854 3.25979106608182 0.0 -8.881784197001252e-16 0.0 0.0 0.0 3.552713678800501e-15 -3.552713678800501e-15 0.0 2.220446049250313e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1615.7938073075 1439.97233140231 1251.07750895462 1054.03244940118 852.159342013996 651.931678063947 454.408382483074 201.803435584394 1539.15157821658 1363.1272447896 1196.30632932148 1019.59853327017 838.237228014127 658.142836147528 480.860113100303 258.465306551918 -1140.29509661789 -1923.65051475068 -2148.64535881738 -2464.32523490795 -2701.37219529041 -2946.19249764666 -3266.24311859911 -3660.84570681854 -1342.37722451368 -1663.74793934085 -1923.37937816649 -2212.35552265308 -2428.53104434648 -2649.68376926474 -2920.24697339616 -3124.12972956345 -12148.3254368326 66229.6751596886 77911.3562998002 93268.1919272139 102827.901596752 109931.036321508 117167.389665846 114012.466183608 -55553.9048423911 56920.4092542771 69701.8129376697 83698.2419448133 92536.4653944836 98981.9687792009 104753.67745534 97954.3914108748 1.36624171813848 4.44483256519214 4.62177231302136 4.72239063278737 4.62286698453602 4.37007888264878 3.96766851198278 3.12589266773633 5.29503639982798 4.45167409019191 4.61685789780405 4.72020046931453 4.62755947545933 4.37505206665448 3.9686950744208 3.11695331671519 -2.02488110300115 0.0 0.0 -1.77635683940025e-15 0.0 0.0 0.0 0.0 -9.72764321381008 0.0 0.0 1.77635683940025e-15 1.77635683940025e-15 0.0 3.552713678800501e-15 -7.105427357601002e-15
1601.84520182317 1410.65975408963 1232.22400388369 1037.5802131484 839.259249280363 642.382977042073 449.286618045038 200.87131525975 1503.78494596882 1353.01282692064 1184.78722419393 1007.92800363198 828.50921718719 650.532236918429 476.573566326264 257.489572854685 -1617.29319621434 -1698.98997105936 -2139.26605606644 -2417.03665224706 -2657.2338314533 -2893.92290310466 -3182.70413542758 -3620.89599693219 -935.598417733145 -1675.54494755371 -1957.49889276877 -2188.77974284757 -2402.77226309934 -2614.06765450867 -2854.33468621277 -3088.033251871 51922.4299452856 51018.1632534915 76794.4073114225 89017.1310281903 98735.9388865092 105300.024022265 110622.443169483 111888.548390563 29813.4528823374 50384.8547722769 70021.4080073119 80580.3042587397 89372.5362362832 95226.0800896803 99193.2770586812 96134.6859985135 4.09762543233665 3.90739219841083 4.56831781938361 4.59654991310953 4.51413729107407 4.26293601745826 3.84526962059629 3.10351931886964 4.07791189019011 3.87861862546574 4.55998777067435 4.59537511573059 4.51876473007205 4.2676718048652 3.8458437589359 3.09458141244657 0.0 0.0 1.77635683940025e-15 1.77635683940025e-15 -1.77635683940025e-15 -3.552713678800501e-15 -3.552713678800501e-15 0.0 0.0 -8.881784197001252e-16 -8.881784197001252e-16 0.0 1.77635683940025e-15 0.0 0.0 0.0
1568.07139508112 1395.51054036269 1213.57642143163 1022.87377786506 827.655153408135 634.064904868772 443.452418655811 199.253428080089 1485.08444758504 1339.53195600956 1171.81510807202 997.520707542488 819.842944401627 643.988463792715 471.668922835623 256.026420991428 -1141.05391448596 -1841.68146568836 -2081.38221948026 -2383.07148138281 -2612.41973180137 -2847.36281423726 -3148.6737287727 -3549.81101468912 -851.102538218052 -1687.10113940683 -1910.12055879235 -2171.9310341011 -2375.21583166234 -2582.8044851855 -2831.39571151096 -3025.49097836668 -14267.1794763341 59694.7646046681 71994.8269053167 85914.2459326106 94784.6608135086 101278.720071682 107578.737179211 106486.97231465 -86582.3638459022 54756.5264830978 65943.7269409711 78275.9462280473 86267.2088627545 91972.6364906738 96711.2979797776 91436.612901057 1.60251914607021 4.19233286671649 4.40919709069188 4.50044515928881 4.40931023130543 4.16952276391751 3.78317988063317 3.01685980095272 12.9654291423229 4.18017741030374 4.40439654388333 4.4995767129432 4.41384975022034 4.17403241792607 3.78347890722813 3.00690946737639 -2.45018736018305 8.881784197001252e-16 -8.881784197001252e-16 -1.77635683940025e-15 -1.77635683940025e-15 0.0 0.0 0.0 -15.690263750904 0.0 8.881784197001252e-16 0.0 0.0 0.0 -3.552713678800501e-15 0.0
1555.01420486448 1372.09003922754 1198.11090928271 1009.38100410312 817.110051243584 626.306773745115 438.925160744318 198.284208039661 1441.29866169122 1338.02884174243 1163.97908109722 988.499260904432 812.136416970745 637.91986945806 467.906063663785 255.069523139903 -1465.02680708221 -1669.73965638283 -2073.87152833247 -2344.29666272749 -2575.30516483812 -2805.20955028486 -3090.69316502062 -3507.80823867717 -435.242698136133 -1730.69187275717 -1961.10425834914 -2158.70946915142 -2355.80126871922 -2555.59957351546 -2787.32428894468 -2988.10872601725 32547.6011477389 48605.0973239048 71104.8226629345 82588.6507672204 91518.8974688811 97707.7428285253 103125.31908416 103914.970485522 -6954.80543483564 52263.6019469173 66841.0320200672 76023.0169172988 83805.3037122728 89112.8179661892 92963.9276244683 89222.6646190955 2.83508981211268 3.78877798423577 4.36590156386289 4.3990559168289 4.3201377172555 4.08438093357587 3.69598398124729 2.98138807702617 2.03252789054661 3.73499630951905 4.35707700306421 4.39935905282272 4.32463501122446 4.08865470954154 3.69590041650414 2.97119003809856 0.0 0.0 8.881784197001252e-16 0.0 0.0 0.0 -3.552713678800501e-15 0.0 -1.29689578119845 0.0 0.0 -1.77635683940025e-15 0.0 0.0 -3.552713678800501e-15 0.0
1532.65570158895 1357.0758131303 1182.54803744478 997.241427472441 807.537725851318 619.412671183761 434.340028376301 197.088008359878 1445.12749218145 1315.00385681066 1152.63066248542 980.153615238215 805.177146356116 632.586431656272 464.089543855526 253.965909527142 -1256.65740000481 -1739.48190721897 -2021.35961104487 -2315.34674965651 -2538.92864189217 -2766.57094038241 -3055.64599428066 -3455.45854147819 -731.439887672698 -1543.53984652339 -1893.15915981134 -2143.15751638106 -2334.99070808545 -2530.82621526656 -2763.09699918861 -2942.00688513624 -245.142096136966 52367.9650335013 67088.0474458581 80074.7926162464 88438.6044270095 94513.0626690096 100281.892492723 100229.932585816 -70573.0780518454 46917.19380842 62738.1163533762 74095.5384065551 81419.3275678747 86554.1149839155 90631.4373218073 86026.0016094249 0.02497923378076682 3.90866725145694 4.22949074602096 4.31888484244917 4.23550467717651 4.00748171191278 3.63737697020338 2.92230174021961 12.1405748593146 3.89648561513461 4.22737995938857 4.31894564584659 4.2399149481648 4.01153444283214 3.63700711559706 2.91139860001599 -0.04307599514762751 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -13.1352848571428 0.0 0.0 -1.77635683940025e-15 -1.77635683940025e-15 0.0 0.0 0.0
1536.7984163215 1333.4727429172 1168.37059678736 985.744323127322 798.744987260552 613.023286736219 430.473575153255 196.219280931552 1410.85713774362 1313.91702802383 1145.00604303151 972.542214124107 798.870098714692 627.665534443718 460.896282500962 253.123598500343 -3515.69018679904 -1548.73432464932 -1992.86574246762 -2277.6810866788 -2506.0512769941 -2731.22850541645 -3012.15953482351 -3417.14018848656 -397.538290472218 -1656.9121954212 -1916.9017444686 -2126.95717965579 -2317.63809998069 -2508.72377803435 -2731.17441453609 -2908.10137999099 117764.045037295 41284.2203141843 65027.7697210695 77045.050240555 85688.388683203 91642.8454380438 97017.734222004 97816.9521388327 19180.5450470776 45839.250371727 62190.0022467549 71920.6985702624 79327.9868852624 84267.2217342931 87908.0117300991 83946.8562101891 5.11614265661095 3.47699282613283 4.15114941355754 4.22432536055868 4.15849097997816 3.93709676264951 3.57096765318356 2.88614415160484 6.12323113179105 3.41148014125906 4.14448048170893 4.22515102152722 4.16281125235878 3.94092526808362 3.57026933752234 2.87490527723917 0.0 0.0 0.0 -1.77635683940025e-15 -1.77635683940025e-15 0.0 0.0 0.0 0.0 0.0 0.0 -1.77635683940025e-15 0.0 -1.77635683940025e-15 0.0 0.0
1498.18709851849 1331.09056014661 1155.71314054829 975.298051880735 790.5959818572 607.202087633678 426.736375684138 195.295091774476 1403.81209868025 1301.08208779296 1135.54187255893 965.308927022421 792.977841203114 623.192898196777 457.801239660441 252.256826816971 -1167.93906098681 -1824.23413674567 -1973.16175345922 -2251.82797987108 -2473.77525512625 -2697.87374399935 -2979.38797075747 -3376.30330661137 -425.603817440992 -1614.76929350785 -1874.86483047835 -2110.9841190906 -2298.57021220281 -2487.49581100018 -2708.24523340435 -2872.07820497323 -15658.4269621565 57300.4682328365 62966.2300089895 74903.8031051425 83072.9513168964 88994.8467851979 94514.3006468301 95091.3329197327 -113991.318932137 51930.113144275 59756.835140448 70195.0459446604 77268.2987912885 82141.0753245739 85844.3702382508 81586.3578821185 1.73126886690799 4.05208036700223 4.07203611255801 4.15491577584688 4.08520376415196 3.87205326666118 3.51879606432768 2.84188491904995 33.8489353940161 4.0333328578006 4.07187268623723 4.1552920926409 4.0894000265093 3.87567181025994 3.51782527174742 2.83012223558628 -2.81378890092306 8.881784197001252e-16 -8.881784197001252e-16 -1.77635683940025e-15 -1.77635683940025e-15 0.0 -3.552713678800501e-15 0.0 -21.8185126985041 -8.881784197001252e-16 8.881784197001252e-16 0.0 0.0 0.0 -3.552713678800501e-15 0.0
1487.16760809415 1313.74425313421 1146.84729890234 966.314210276054 783.297262990454 601.841765336496 423.423649366666 194.514058988524 1361.61907353449 1306.37895878979 1132.60187886607 959.664591449343 787.81136923538 619.088272701336 455.065093978575 251.506512799018 -1370.87855644784 -1600.11677580146 -1994.85371384485 -2235.06822468737 -2449.09812323177 -2668.3755697682 -2944.78043516959 -3342.32087937828 -158.328934414825 -1543.35504645972 -1951.3620728411 -2113.09083076219 -2287.19444174402 -2469.44709026362 -2683.34215984148 -2841.9630173642 14900.4080585141 43774.3678775529 64222.4413656733 73445.3429383647 81049.5831418571 86678.5302240357 91977.6552010852 92968.4161690156 -60280.1233018697 48381.1678159942 62438.7869356166 69409.025319446 75768.2599214832 80298.5460668005 83734.7571374462 79752.0782242335 1.38886706090308 3.56149595412559 4.10263856884278 4.10657934914151 4.02688094915158 3.81410110920837 3.46585570443292 2.80844704432778 48.1493352146957 3.48388687550055 4.09688364125162 4.10768054462492 4.03098657216759 3.81751125467564 3.46460304382553 2.79632442512465 -2.220446049250313e-16 0.0 8.881784197001252e-16 0.0 0.0 0.0 -3.552713678800501e-15 0.0 -11.883065479995 0.0 -8.881784197001252e-16 0.0 1.77635683940025e-15 0.0 -3.552713678800501e-15 0.0
1479.86094929834 1299.61281616105 1135.41886802184 958.30150414829 776.860055792401 597.08355192843 420.360029905379 193.757695159784 1338.4271430117 1302.29889224805 1127.09199348827 955.045014068082 783.450412338937 615.516023397645 452.546543142456 250.789900185891 -1521.0122290068 -1602.22840968188 -1926.62156469438 -2215.83637663696 -2427.56162094752 -2643.00651456073 -2916.88359896728 -3309.24035638231 -80.1928778787544 -1396.88101800021 -1923.5725844836 -2114.42510336752 -2279.76066233664 -2455.25947140417 -2664.27217685952 -2812.73653439392 38344.977753408 43484.9205608004 59790.4358005549 71891.8051187379 79310.6966726757 84704.9071415252 89918.9071274264 90857.8087696288 -4595.03837286518 47818.1903317547 59268.4144253982 68569.8614395047 74558.0778938083 78766.4215971726 82046.3657327246 77925.8118799539 3.22605518782845 3.53860622414267 3.95463609383488 4.05464996351791 3.9763118525313 3.76398364728345 3.42193883621616 2.77397171214382 3.82868040149807 3.47464437679721 3.95045438873812 4.05648089739226 3.98042213955737 3.76720022654003 3.42043315723853 2.76141568908601 0.0 0.0 0.0 0.0 0.0 0.0 3.552713678800501e-15 0.0 -0.704839756179726 0.0 0.0 0.0 -1.77635683940025e-15 0.0 0.0 0.0
