,te.value,ti.value,te.ddrho,ti.ddrho
0,479.5559824375506,452.4802252061361,-4931.089431919145,-3803.77920118674
1,479.5559824375506,769.4745745488223,-4931.089431919145,-3803.77920118674
2,479.5559824375506,1055.70203901776,-4931.089431919145,-3803.77920118674
3,479.5559824375506,1341.929503486698,-4931.089431919145,-3803.77920118674
4,479.5559824375506,1658.923852829384,-4931.089431919145,-3803.77920118674
5,815.5188116571696,452.4802252061361,-4931.089431919145,-3803.77920118674
6,815.5188116571696,769.4745745488223,-4931.089431919145,-3803.77920118674
7,815.5188116571696,1055.70203901776,-4931.089431919145,-3803.77920118674
8,815.5188116571696,1341.929503486698,-4931.089431919145,-3803.77920118674
9,815.5188116571696,1658.923852829384,-4931.089431919145,-3803.77920118674
10,1118.87371045187,452.4802252061361,-4931.089431919145,-3803.77920118674
11,1118.87371045187,769.4745745488223,-4931.089431919145,-3803.77920118674
12,1118.87371045187,1055.70203901776,-4931.089431919145,-3803.77920118674
13,1118.87371045187,1341.929503486698,-4931.089431919145,-3803.77920118674
14,1118.87371045187,1658.923852829384,-4931.089431919145,-3803.77920118674
15,1422.22860924657,452.4802252061361,-4931.089431919145,-3803.77920118674
16,1422.22860924657,769.4745745488223,-4931.089431919145,-3803.77920118674
17,1422.22860924657,1055.70203901776,-4931.089431919145,-3803.77920118674
18,1422.22860924657,1341.929503486698,-4931.089431919145,-3803.77920118674
19,1422.22860924657,1658.923852829384,-4931.089431919145,-3803.77920118674
20,1758.19143846619,452.4802252061361,-4931.089431919145,-3803.77920118674
21,1758.19143846619,769.4745745488223,-4931.089431919145,-3803.77920118674
22,1758.19143846619,1055.70203901776,-4931.089431919145,-3803.77920118674
23,1758.19143846619,1341.929503486698,-4931.089431919145,-3803.77920118674
24,1758.19143846619,1658.923852829384,-4931.089431919145,-3803.77920118674
25,479.5559824375506,452.4802252061361,-4931.089431919145,-3076.936609305916
26,479.5559824375506,769.4745745488223,-4931.089431919145,-3076.936609305916
27,479.5559824375506,1055.70203901776,-4931.089431919145,-3076.936609305916
28,479.5559824375506,1341.929503486698,-4931.089431919145,-3076.936609305916
29,479.5559824375506,1658.923852829384,-4931.089431919145,-3076.936609305916
30,815.5188116571696,452.4802252061361,-4931.089431919145,-3076.936609305916
31,815.5188116571696,769.4745745488223,-4931.089431919145,-3076.936609305916
32,815.5188116571696,1055.70203901776,-4931.089431919145,-3076.936609305916
33,815.5188116571696,1341.929503486698,-4931.089431919145,-3076.936609305916
34,815.5188116571696,1658.923852829384,-4931.089431919145,-3076.936609305916
35,1118.87371045187,452.4802252061361,-4931.089431919145,-3076.936609305916
36,1118.87371045187,769.4745745488223,-4931.089431919145,-3076.936609305916
37,1118.87371045187,1055.70203901776,-4931.089431919145,-3076.936609305916
38,1118.87371045187,1341.929503486698,-4931.089431919145,-3076.936609305916
39,1118.87371045187,1658.923852829384,-4931.089431919145,-3076.936609305916
40,1422.22860924657,452.4802252061361,-4931.089431919145,-3076.936609305916
41,1422.22860924657,769.4745745488223,-4931.089431919145,-3076.936609305916
42,1422.22860924657,1055.70203901776,-4931.089431919145,-3076.936609305916
