,te_value,te_ddrho,ti_value,ti_ddrho,ft,te_transp_flux,ti_transp_flux
0,1081.8623140520522,-621.2989088631782,949.20513900004,-516.0532499159463,0,5961.791656584447,4951.886951373518
1,1081.8623140520522,-621.2989088631782,949.2051390000402,-774.079874873908,0,5961.791656584447,7427.830427060169
2,1081.8623140520522,-621.2989088631782,949.2051390000399,-1032.1064998318843,0,5961.791656584447,9903.77390274696
3,1081.8623140520522,-621.2989088631782,949.20513900004,-1290.1331247898606,0,5961.791656584447,12379.717378433746
4,1081.8623140520522,-621.2989088631782,949.2051390000404,-1548.1597497478224,0,5961.791656584447,14855.660854120399
5,1081.8623140520522,-621.2989088631782,1423.8077085000596,-516.0532499159503,0,5961.791656584447,4951.886951373558
6,1081.8623140520522,-621.2989088631782,1423.8077085000598,-774.0798748739121,0,5961.791656584447,7427.8304270602075
7,1081.8623140520522,-621.2989088631782,1423.80770850006,-1032.1064998318739,0,5961.791656584447,9903.773902746856
8,1081.8623140520522,-621.2989088631782,1423.80770850006,-1290.1331247898647,0,5961.791656584447,12379.717378433788
9,1081.8623140520522,-621.2989088631782,1423.80770850006,-1548.1597497478265,0,5961.791656584447,14855.660854120437
10,1081.8623140520522,-621.2989088631782,1898.4102780000794,-516.0532499159399,0,5961.791656584447,4951.886951373457
11,1081.8623140520522,-621.2989088631782,1898.4102780000794,-774.0798748739016,0,5961.791656584447,7427.830427060108
12,1081.8623140520522,-621.2989088631782,1898.41027800008,-1032.1064998318925,0,5961.791656584447,9903.773902747036
13,1081.8623140520522,-621.2989088631782,1898.41027800008,-1290.1331247898543,0,5961.791656584447,12379.717378433686
14,1081.8623140520522,-621.2989088631782,1898.4102780000803,-1548.159749747816,0,5961.791656584447,14855.660854120339
15,1081.8623140520522,-621.2989088631782,2373.0128475000993,-516.0532499159001,0,5961.791656584447,4951.886951373074
16,1081.8623140520522,-621.2989088631782,2373.0128475000993,-774.0798748739203,0,5961.791656584447,7427.830427060287
17,1081.8623140520522,-621.2989088631782,2373.0128475000993,-1032.106499831882,0,5961.791656584447,9903.773902746938
18,1081.8623140520522,-621.2989088631782,2373.0128475000993,-1290.133124789873,0,5961.791656584447,12379.717378433865
19,1081.8623140520522,-621.2989088631782,2373.0128475000997,-1548.1597497478929,0,5961.791656584447,14855.660854121075
20,1081.8623140520522,-621.2989088631782,2847.615417000119,-516.0532499159189,0,5961.791656584447,4951.886951373256
21,1081.8623140520522,-621.2989088631782,2847.615417000119,-774.0798748738807,0,5961.791656584447,7427.8304270599065
22,1081.8623140520522,-621.2989088631782,2847.615417000119,-1032.1064998319007,0,5961.791656584447,9903.773902747116
23,1081.8623140520522,-621.2989088631782,2847.615417000119,-1290.1331247898624,0,5961.791656584447,12379.717378433766
24,1081.8623140520522,-621.2989088631782,2847.6154170001196,-1548.1597497478242,0,5961.791656584447,14855.660854120415
25,1081.8623140520522,-931.9483632947715,949.20513900004,-516.0532499159463,0,13414.031227315127,7427.83042706031
26,1081.8623140520522,-931.9483632947715,949.2051390000402,-774.079874873908,0,13414.031227315127,11141.745640590303
