,Unnamed: 0,index,name,te_value,ti_value,te_ddrho,ti_ddrho,ti_transp_flux,ti_transp_flux_std,ti_transp_flux_stem,ti_transp_flux_acn,ft,ti_transp_flux_cov,weight,Unnamed: 0,index,name,te_value,ti_value,te_ddrho,ti_ddrho,te_transp_flux,te_transp_flux_std,te_transp_flux_stem,ti_transp_flux,ti_transp_flux_std,ti_transp_flux_stem,ti_transp_flux_acn,te_transp_flux_acn,ft,te_transp_flux_cov,weight
10,10,,,1761.8857176529864,1781.1562730402793,-3682.698962561785,-3295.232871114479,80114.73941245553,21399.303889280425,3725.140660129584,33.0,0.0,0.26710820064096036,0.2438652644413961,10,,,1761.8857176529864,1781.1562730402793,-3682.698962561785,-3295.232871114479,252937.41627657303,63117.16007412081,11157.642974411909,80114.73941245553,21399.303889280425,3725.140660129584,33.0,32.0,0.0,0.2495366680155604,0.2438652644413961
11,11,,,1761.8857176529864,1781.1562730402793,-3682.698962561785,-2018.9946679443167,47136.71773749075,25656.776430756054,3912.621725033566,43.0,0.0,0.544305536368512,0.1524157902758726,11,,,1761.8857176529864,1781.1562730402793,-3682.698962561785,-2018.9946679443167,142499.67946179325,70736.38176741237,11047.166843005396,47136.71773749075,25656.776430756054,3912.621725033566,43.0,41.0,0.0,0.49639677811610855,0.1524157902758726
12,12,,,1761.8857176529864,1781.1562730402793,-2654.5832793553805,-4571.471074284643,113929.4184871704,11257.278422265425,1990.02447752222,32.0,0.0,0.09880923269640937,0.2438652644413961,12,,,1761.8857176529864,1781.1562730402793,-2654.5832793553805,-4571.471074284643,149185.94229786904,35184.652665460955,5864.108777576826,113929.4184871704,11257.278422265425,1990.02447752222,32.0,36.0,0.0,0.2358442901758816,0.2438652644413961
13,13,,,1761.8857176529864,1781.1562730402793,-2654.5832793553805,-3295.232871114479,69231.51198504867,15333.378293133288,3007.122889461026,26.0,0.0,0.22147975471696627,0.3901844231062337,13,,,1761.8857176529864,1781.1562730402793,-2654.5832793553805,-3295.232871114479,144993.33565367368,23217.03612162874,4739.157653146345,69231.51198504867,15333.378293133288,3007.122889461026,26.0,24.0,0.0,0.16012484999368654,0.3901844231062337
14,14,,,1761.8857176529864,1781.1562730402793,-2654.5832793553805,-2018.9946679443167,24118.559186259896,12665.03815982874,1909.326342349324,44.0,0.0,0.5251158687391196,0.2438652644413961,14,,,1761.8857176529864,1781.1562730402793,-2654.5832793553805,-2018.9946679443167,54068.4605258813,27758.05148215389,4233.063166247306,24118.559186259896,12665.03815982874,1909.326342349324,44.0,43.0,0.0,0.513387124622621,0.2438652644413961
15,15,,,1761.8857176529864,1781.1562730402793,-1626.4675961489745,-4571.471074284643,73716.58238883263,9381.199239615424,1712.7648133292264,30.0,0.0,0.12726036579032438,0.1524157902758726,15,,,1761.8857176529864,1781.1562730402793,-1626.4675961489745,-4571.471074284643,22806.617246078225,2530.8396149705254,487.0603109930005,73716.58238883263,9381.199239615424,1712.7648133292264,30.0,27.0,0.0,0.11096953080166778,0.1524157902758726
16,16,,,1761.8857176529864,1781.1562730402793,-1626.4675961489745,-3295.232871114479,14495.834511668914,5668.999809174532,864.5143661149249,43.0,0.0,0.39107785099306136,0.2438652644413961,16,,,1761.8857176529864,1781.1562730402793,-1626.4675961489745,-3295.232871114479,18060.424267242583,7343.983015611678,1119.9469104277116,14495.834511668914,5668.999809174532,864.5143661149249,43.0,43.0,0.0,0.40663402514480007,0.2438652644413961
17,17,,,1761.8857176529864,1781.1562730402793,-1626.4675961489745,-2018.9946679443167,1369.9434341977317,346.4450387527178,54.10562498965585,41.0,0.0,0.2528900318833992,0.1524157902758726,17,,,1761.8857176529864,1781.1562730402793,-1626.4675961489745,-2018.9946679443167,1692.8529290457002,481.7200422098277,79.19428710398965,1369.9434341977317,346.4450387527178,54.10562498965585,41.0,37.0,0.0,0.28456107080807325,0.1524157902758726
18,18,,,1761.8857176529864,2470.995131288068,-3682.698962561785,-4571.471074284643,151888.31843629797,72782.16206473456,10972.323772707408,44.0,0.0,0.4791820912498905,0.09525986892242039,18,,,1761.8857176529864,2470.995131288068,-3682.698962561785,-4571.471074284643,403221.25136390753,158650.18660934636,23917.41554104857,151888.31843629797,72782.16206473456,10972.323772707408,44.0,44.0,0.0,0.39345690752336965,0.09525986892242039
19,19,,,1761.8857176529864,2470.995131288068,-3682.698962561785,-3295.232871114479,84590.88687816406,21473.496357461205,4058.109367206692,28.0,0.0,0.2538511788910477,0.1524157902758726,19,,,1761.8857176529864,2470.995131288068,-3682.698962561785,-3295.232871114479,269110.0788027949,72274.8434284126,12581.435328583137,84590.88687816406,21473.496357461205,4058.109367206692,28.0,33.0,0.0,0.26856981258355594,0.1524157902758726
20,20,,,1761.8857176529864,2470.995131288068,-3682.698962561785,-2018.9946679443167,4832.63453208935,2689.3624536556795,420.0078514693795,41.0,0.0,0.5565002765671494,0.09525986892242039,20,,,1761.8857176529864,2470.995131288068,-3682.698962561785,-2018.9946679443167,20792.198584055463,8553.347395585894,1369.6317273087193,4832.63453208935,2689.3624536556795,420.0078514693795,41.0,39.0,0.0,0.4113729176358023,0.09525986892242039
21,21,,,1761.8857176529864,2470.995131288068,-2654.5832793553805,-4571.471074284643,72811.90871763352,25804.742019086814,4361.797501920592,35.0,0.0,0.3544027683597511,0.1524157902758726,21,,,1761.8857176529864,2470.995131288068,-2654.5832793553805,-4571.471074284643,121000.70963280342,55640.12657365082,8388.064687849208,72811.90871763352,25804.742019086814,4361.797501920592,35.0,44.0,0.0,0.4598330600084904,0.1524157902758726
22,22,,,1761.8857176529864,2470.995131288068,-2654.5832793553805,-3295.232871114479,45236.26915546741,14926.559839620442,2303.2181866630594,42.0,0.0,0.32996885283180716,0.2438652644413961,22,,,1761.8857176529864,2470.995131288068,-2654.5832793553805,-3295.232871114479,96683.90470625676,32933.63254980704,5022.331879704907,45236.26915546741,14926.559839620442,2303.2181866630594,42.0,43.0,0.0,0.3406320074666553,0.2438652644413961
23,23,,,1761.8857176529864,2470.995131288068,-2654.5832793553805,-2018.9946679443167,2087.374404303695,543.2412182952222,83.82393982044084,42.0,0.0,0.26025097231008554,0.1524157902758726,23,,,1761.8857176529864,2470.995131288068,-2654.5832793553805,-2018.9946679443167,8984.668152714437,1202.159046448015,185.4971680541628,2087.374404303695,543.2412182952222,83.82393982044084,42.0,42.0,0.0,0.13380116282701215,0.1524157902758726
24,24,,,1761.8857176529864,2470.995131288068,-1626.4675961489745,-4571.471074284643,66307.72752082361,5054.643257625895,1031.7747344152317,24.0,0.0,0.07623007825201836,0.09525986892242039,24,,,1761.8857176529864,2470.995131288068,-1626.4675961489745,-4571.471074284643,14975.733032430122,1256.7866462347092,267.94781328340514,66307.72752082361,5054.643257625895,1031.7747344152317,24.0,22.0,0.0,0.08392154450891474,0.09525986892242039
25,25,,,1761.8857176529864,2470.995131288068,-1626.4675961489745,-3295.232871114479,1976.6558695589276,283.1258417950375,43.68726584981154,42.0,0.0,0.14323476643317504,0.1524157902758726,25,,,1761.8857176529864,2470.995131288068,-1626.4675961489745,-3295.232871114479,4743.558602446432,250.94835205507107,39.67841837799104,1976.6558695589276,283.1258417950375,43.68726584981154,42.0,40.0,0.0,0.0529029728705465,0.1524157902758726
26,26,,,1761.8857176529864,2470.995131288068,-1626.4675961489745,-2018.9946679443167,409.646100883697,49.82660836315063,7.6884125876833265,42.0,0.0,0.12163330312595104,0.09525986892242039,26,,,1761.8857176529864,2470.995131288068,-1626.4675961489745,-2018.9946679443167,2815.0711538855544,130.11074179169606,19.395764216610345,409.646100883697,49.82660836315063,7.6884125876833265,42.0,45.0,0.0,0.04621934390969418,0.09525986892242039
27,27,,,2875.6013198730093,1091.3174147924924,-3682.698962561785,-4571.471074284643,35363.81741109679,2572.372565631719,462.0117515756748,31.0,0.0,0.07274023999525957,0.1524157902758726,27,,,2875.6013198730093,1091.3174147924924,-3682.698962561785,-4571.471074284643,70194.96979505892,10397.112304372213,1567.4236553086378,35363.81741109679,2572.372565631719,462.0117515756748,31.0,44.0,0.0,0.1481176263018219,0.1524157902758726
28,28,,,2875.6013198730093,1091.3174147924924,-3682.698962561785,-3295.232871114479,42063.18746932712,16379.8281118483,2657.1589941816464,38.0,0.0,0.3894100541903209,0.2438652644413961,28,,,2875.6013198730093,1091.3174147924924,-3682.698962561785,-3295.232871114479,124704.12479918989,47085.67907299359,7847.613178832265,42063.18746932712,16379.8281118483,2657.1589941816464,38.0,36.0,0.0,0.37757916306950795,0.2438652644413961
29,29,,,2875.6013198730093,1091.3174147924924,-3682.698962561785,-2018.9946679443167,82533.84467840231,30414.1471023798,5376.512415024485,32.0,0.0,0.36850515350266555,0.1524157902758726,29,,,2875.6013198730093,1091.3174147924924,-3682.698962561785,-2018.9946679443167,232166.96976914225,76795.27923687351,13792.839321569185,82533.84467840231,30414.1471023798,5376.512415024485,32.0,31.0,0.0,0.3307760759992506,0.1524157902758726
30,30,,,2875.6013198730093,1091.3174147924924,-2654.5832793553805,-4571.471074284643,10385.490531059691,1071.112481456422,202.4212322936411,28.0,0.0,0.10313547330798349,0.2438652644413961,30,,,2875.6013198730093,1091.3174147924924,-2654.5832793553805,-4571.471074284643,9207.26610706661,604.5934925024238,116.35407188219013,10385.490531059691,1071.112481456422,202.4212322936411,28.0,27.0,0.0,0.06566482226883788,0.2438652644413961
31,31,,,2875.6013198730093,1091.3174147924924,-2654.5832793553805,-3295.232871114479,48268.83555195038,13889.658375404764,2143.2208171539824,42.0,0.0,0.2877562347750386,0.3901844231062337,31,,,2875.6013198730093,1091.3174147924924,-2654.5832793553805,-3295.232871114479,102683.11356115509,27543.069293014527,4301.5047454486285,48268.83555195038,13889.658375404764,2143.2208171539824,42.0,41.0,0.0,0.2682336787208023,0.3901844231062337
32,32,,,2875.6013198730093,1091.3174147924924,-2654.5832793553805,-2018.9946679443167,40668.874941406495,15522.307939167957,2340.0759688443127,44.0,0.0,0.3816753711906625,0.2438652644413961,32,,,2875.6013198730093,1091.3174147924924,-2654.5832793553805,-2018.9946679443167,91485.6271445109,36968.50065795945,5573.211170202646,40668.874941406495,15522.307939167957,2340.0759688443127,44.0,44.0,0.0,0.4040908043354605,0.2438652644413961
33,33,,,2875.6013198730093,1091.3174147924924,-1626.4675961489745,-4571.471074284643,7528.531035650025,895.6474214405426,169.26145282342395,28.0,0.0,0.11896708895790732,0.1524157902758726,33,,,2875.6013198730093,1091.3174147924924,-1626.4675961489745,-4571.471074284643,4228.231307511072,513.9164060920115,92.30211133267042,7528.531035650025,895.6474214405426,169.26145282342395,28.0,31.0,0.0,0.12154406150370374,0.1524157902758726
34,34,,,2875.6013198730093,1091.3174147924924,-1626.4675961489745,-3295.232871114479,112.43463441510652,52.190550699775656,8.357176529625875,39.0,0.0,0.4641857108467943,0.2438652644413961,34,,,2875.6013198730093,1091.3174147924924,-1626.4675961489745,-3295.232871114479,125.48186785097748,62.338748111915095,10.112680310227509,112.43463441510652,52.190550699775656,8.357176529625875,39.0,38.0,0.0,0.49679486908776904,0.2438652644413961
