,te_value,ti_value,te_ddrho,ti_ddrho,te_transp_flux,ti_transp_flux,ft
0,648.1701154329635,401.4785565447046,-4710.814645768189,-5847.7092774548055,262021.47060871596,325256.9883952797,0
1,648.1701154329635,401.4785565447046,-4710.814645768189,-4571.471074284643,262021.47060871596,254271.0048686153,0
2,648.1701154329635,401.4785565447046,-4710.814645768189,-3295.2328711144796,262021.47060871596,183285.02134195055,0
3,648.1701154329635,401.4785565447046,-4710.814645768189,-2018.9946679443167,262021.47060871596,112299.03781528624,0
4,648.1701154329635,401.4785565447046,-4710.814645768189,-742.7564647741538,262021.47060871596,41313.05428862152,0
5,648.1701154329635,401.4785565447046,-3682.698962561785,-5847.7092774548055,159173.2871755276,252749.17054089674,0
6,648.1701154329635,401.4785565447046,-3682.698962561785,-4571.471074284643,159173.2871755276,197587.7163784116,0
7,648.1701154329635,401.4785565447046,-3682.698962561785,-3295.2328711144796,159173.2871755276,142426.26221592617,0
8,648.1701154329635,401.4785565447046,-3682.698962561785,-2018.9946679443167,159173.2871755276,87264.80805344105,0
9,648.1701154329635,401.4785565447046,-3682.698962561785,-742.7564647741538,159173.2871755276,32103.35389095567,0
10,648.1701154329635,401.4785565447046,-2654.5832793553805,-5847.7092774548055,82203.75818812016,181084.4222280543,0
11,648.1701154329635,401.4785565447046,-2654.5832793553805,-4571.471074284643,82203.75818812016,141563.50101238347,0
12,648.1701154329635,401.4785565447046,-2654.5832793553805,-3295.2328711144796,82203.75818812016,102042.57979671247,0
13,648.1701154329635,401.4785565447046,-2654.5832793553805,-2018.9946679443167,82203.75818812016,62521.65858104172,0
14,648.1701154329635,401.4785565447046,-2654.5832793553805,-742.7564647741538,82203.75818812016,23000.73736537074,0
15,648.1701154329635,401.4785565447046,-1626.4675961489745,-5847.7092774548055,30670.337203401956,110270.38954336088,0
16,648.1701154329635,401.4785565447046,-1626.4675961489745,-4571.471074284643,30670.337203401956,86204.33613057132,0
17,648.1701154329635,401.4785565447046,-1626.4675961489745,-3295.2328711144796,30670.337203401956,62138.2827177816,0
18,648.1701154329635,401.4785565447046,-1626.4675961489745,-2018.9946679443167,30670.337203401956,38072.229304992055,0
19,648.1701154329635,401.4785565447046,-1626.4675961489745,-742.7564647741538,30670.337203401956,14006.175892202366,0
20,648.1701154329635,401.4785565447046,-598.3519129425686,-5847.7092774548055,4125.119878585379,40314.90710205539,0
21,648.1701154329635,401.4785565447046,-598.3519129425686,-4571.471074284643,4125.119878585379,31516.346476057035,0
22,648.1701154329635,401.4785565447046,-598.3519129425686,-3295.2328711144796,4125.119878585379,22717.785850058648,0
23,648.1701154329635,401.4785565447046,-598.3519129425686,-2018.9946679443167,4125.119878585379,13919.225224060308,0
24,648.1701154329635,401.4785565447046,-598.3519129425686,-742.7564647741538,4125.119878585379,5120.664598061925,0
25,648.1701154329635,1091.3174147924924,-4710.814645768189,-5847.7092774548055,262021.47060871596,325256.9883952797,0
26,648.1701154329635,1091.3174147924924,-4710.814645768189,-4571.471074284643,262021.47060871596,254271.004868615,0
27,648.1701154329635,1091.3174147924924,-4710.814645768189,-3295.2328711144796,262021.47060871596,183285.02134195095,0
28,648.1701154329635,1091.3174147924924,-4710.814645768189,-2018.9946679443167,262021.47060871596,112299.03781528621,0
29,648.1701154329635,1091.3174147924924,-4710.814645768189,-742.7564647741538,262021.47060871596,41313.05428862074,0
30,648.1701154329635,1091.3174147924924,-3682.698962561785,-5847.7092774548055,159173.2871755276,252749.17054089674,0
31,648.1701154329635,1091.3174147924924,-3682.698962561785,-4571.471074284643,159173.2871755276,197587.71637841137,0
32,648.1701154329635,1091.3174147924924,-3682.698962561785,-3295.2328711144796,159173.2871755276,142426.26221592646,0
33,648.1701154329635,1091.3174147924924,-3682.698962561785,-2018.9946679443167,159173.2871755276,87264.80805344105,0
34,648.1701154329635,1091.3174147924924,-3682.698962561785,-742.7564647741538,159173.2871755276,32103.35389095507,0
35,648.1701154329635,1091.3174147924924,-2654.5832793553805,-5847.7092774548055,82203.75818812016,181084.4222280543,0
36,648.1701154329635,1091.3174147924924,-2654.5832793553805,-4571.471074284643,82203.75818812016,141563.5010123833,0
37,648.1701154329635,1091.3174147924924,-2654.5832793553805,-3295.2328711144796,82203.75818812016,102042.57979671269,0
38,648.1701154329635,1091.3174147924924,-2654.5832793553805,-2018.9946679443167,82203.75818812016,62521.65858104171,0
39,648.1701154329635,1091.3174147924924,-2654.5832793553805,-742.7564647741538,82203.75818812016,23000.73736537031,0
40,648.1701154329635,1091.3174147924924,-1626.4675961489745,-5847.7092774548055,30670.337203401956,110270.38954336088,0
41,648.1701154329635,1091.3174147924924,-1626.4675961489745,-4571.471074284643,30670.337203401956,86204.33613057122,0
42,648.1701154329635,1091.3174147924924,-1626.4675961489745,-3295.2328711144796,30670.337203401956,62138.282717781745,0
