Profile: 0/IDA/Te Time: @4.000000 Scale: 1000.00
rho toroidal     Data        Lower        Upper
  0.0000       3.9894       3.2663       4.2686
  0.0045       3.9884       3.4135       4.2675
  0.0089       3.9855       3.5587       4.2644
  0.0134       3.9807       3.7021       4.2594
  0.0178       3.9740       3.6959       4.2520
  0.0223       3.9654       3.6879       4.2428
  0.0267       3.9548       3.6780       4.2317
  0.0312       3.9424       3.6666       4.2182
  0.0356       3.9281       3.6533       4.2030
  0.0401       3.9120       3.6382       4.1859
  0.0445       3.8941       3.6216       4.2101
  0.0490       3.8744       3.6033       4.2325
  0.0534       3.8529       3.5832       4.2532
  0.0579       3.8296       3.5617       4.1847
  0.0623       3.8047       3.5385       4.1145
  0.0668       3.7781       3.5136       4.0426
  0.0712       3.7499       3.4875       4.0123
  0.0757       3.7201       3.4598       3.9804
  0.0802       3.6887       3.4305       3.9469
  0.0846       3.6558       3.4000       3.9353
  0.0891       3.6215       3.3681       3.9223
  0.0935       3.5857       3.3347       3.9079
  0.0980       3.5486       3.3003       3.8443
  0.1024       3.5101       3.2645       3.7795
  0.1069       3.4704       3.2275       3.7134
  0.1117       3.4297       3.1897       3.6697
  0.1165       3.3881       3.1510       3.6252
  0.1214       3.3458       3.1116       3.5800
  0.1262       3.3030       3.0718       3.5342
  0.1310       3.2599       3.0317       3.4881
  0.1358       3.2166       2.9914       3.4418
  0.1406       3.1733       2.9010       3.3955
  0.1454       3.1302       2.8107       3.3493
  0.1502       3.0873       2.7207       3.3035
  0.1549       3.0449       2.7314       3.2581
  0.1592       3.0031       2.7427       3.2133
  0.1634       2.9619       2.7546       3.1692
  0.1675       2.9215       2.7169       3.1293
  0.1717       2.8820       2.6802       3.0904
  0.1759       2.8435       2.6445       3.0524
  0.1801       2.8061       2.6096       3.0152
  0.1843       2.7699       2.5760       2.9791
  0.1885       2.7350       2.5436       2.9444
  0.1934       2.7014       2.2439       8.4703
  0.1983       2.6692       1.9458       13.997
  0.2032       2.6386       1.6491       19.525
  0.2080       2.6095       1.8753       14.410
  0.2129       2.5820       2.1030       9.2975
  0.2177       2.5560       2.3323       4.1854
  0.2226       2.5313       2.3242       3.8428
  0.2274       2.5079       2.3173       3.5015
  0.2323       2.4856       2.3116       3.1614
  0.2371       2.4643       2.1817       2.9714
  0.2419       2.4439       2.0526       2.7823
  0.2467       2.4244       1.9243       2.5941
  0.2515       2.4055       1.7957       2.5739
  0.2562       2.3873       1.6677       2.5544
  0.2610       2.3695       1.5402       2.5354
  0.2657       2.3522       1.0265       7.4084
  0.2704       2.3352      0.51314       12.283
  0.2754       2.3185       0.0000       17.157
  0.2803       2.3019      0.70326       12.956
  0.2853       2.2855       1.4067       8.7540
  0.2903       2.2690       2.1102       4.5522
  0.2952       2.2525       2.0948       4.1953
  0.3003       2.2358       2.0793       3.8383
  0.3054       2.2190       2.0636       3.4810
  0.3105       2.2018       1.5928       7.6644
  0.3155       2.1843       1.1216       11.848
  0.3204       2.1664      0.64992       16.031
  0.3251       2.1480      0.43385       15.892
  0.3299       2.1291      0.21721       15.752
  0.3346       2.1096       0.0000       15.611
  0.3398       2.0895   0.00069115       15.458
  0.3456       2.0687   0.00070566       15.304
  0.3515       2.0472       0.0000       15.149
  0.3573       2.0249      0.21918       10.806
  0.3627       2.0019      0.43760       6.4617
  0.3675       1.9780      0.65520       2.1164
  0.3723       1.9532      0.80005       2.0899
  0.3771       1.9276      0.94405       2.0624
  0.3826       1.9010       1.0871       2.0341
  0.3885       1.8736      0.72573       4.8674
  0.3943       1.8452      0.36333       7.7002
  0.4002       1.8159       0.0000       10.532
  0.4063       1.7857   0.00072148       11.272
  0.4124       1.7546   0.00066172       12.012
  0.4184       1.7230       0.0000       12.750
  0.4238       1.6910      0.18315       9.0809
  0.4290       1.6587      0.36607       5.4106
  0.4341       1.6263      0.54886       1.7401
  0.4396       1.5939      0.73138       1.7055
  0.4457       1.5616      0.91408       1.6710
  0.4518       1.5297       1.0971       1.6368
  0.4578       1.4981      0.73088       1.6354
  0.4638       1.4671      0.36514       1.6345
