Profile: 0/IDA/Te Time: @4.000000 Scale: 1000.00
rho toroidal     Data        Lower        Upper
  0.0000       4.1274       3.8243       4.4163
  0.0042       4.1268       3.8285       4.4156
  0.0084       4.1251       3.8317       4.4138
  0.0126       4.1223       3.8337       4.4108
  0.0168       4.1182       3.8300       4.4064
  0.0210       4.1130       3.8252       4.4008
  0.0252       4.1066       3.8191       4.3940
  0.0294       4.0989       3.8121       4.3858
  0.0336       4.0900       3.8038       4.3762
  0.0378       4.0798       3.7942       4.3654
  0.0420       4.0684       3.7837       4.3531
  0.0462       4.0556       3.7718       4.3394
  0.0504       4.0416       3.7587       4.3245
  0.0546       4.0262       3.7445       4.3080
  0.0588       4.0096       3.7290       4.2902
  0.0630       3.9916       3.7122       4.2710
  0.0672       3.9723       3.6943       4.2502
  0.0714       3.9516       3.6751       4.2282
  0.0756       3.9297       3.6546       4.2047
  0.0799       3.9064       3.6330       4.1972
  0.0841       3.8817       3.6101       4.1883
  0.0883       3.8558       3.5859       4.1781
  0.0925       3.8285       3.5606       4.1314
  0.0967       3.8000       3.5341       4.0834
  0.1009       3.7701       3.5062       4.0340
  0.1051       3.7390       3.4774       4.1254
  0.1090       3.7068       3.4474       4.2157
  0.1128       3.6735       3.4164       4.3049
  0.1167       3.6394       3.3847       4.3238
  0.1205       3.6045       3.3522       4.3419
  0.1244       3.5690       3.3192       4.3595
  0.1283       3.5329       3.2857       4.3915
  0.1322       3.4965       3.2518       4.4231
  0.1361       3.4598       3.2176       4.4544
  0.1400       3.4228       3.1628       4.1641
  0.1439       3.3858       3.1080       3.8737
  0.1482       3.3488       3.0532       3.5832
  0.1529       3.3119       2.9259       3.5437
  0.1577       3.2752       2.7988       3.5045
  0.1624       3.2388       2.6720       3.4655
  0.1671       3.2027       2.7518       3.6475
  0.1718       3.1671       2.8320       3.8299
  0.1765       3.1320       2.9128       4.0129
  0.1812       3.0975       2.8629       5.4906
  0.1858       3.0637       2.8138       6.9688
  0.1902       3.0305       2.7654       8.4476
  0.1947       2.9982       2.6471       6.6780
  0.1992       2.9667       2.5297       4.9095
  0.2036       2.9361       2.4131       3.1417
  0.2081       2.9065       2.3233       3.1100
  0.2125       2.8776       2.2343       3.0791
  0.2167       2.8495       2.1461       3.0490
  0.2208       2.8221       2.2320       3.0762
  0.2249       2.7953       2.3185       3.1040
  0.2290       2.7689       2.4055       3.1323
  0.2331       2.7430       2.4379       3.0481
  0.2373       2.7174       2.4707       2.9642
  0.2418       2.6922       2.5037       2.8806
  0.2465       2.6671       2.1707       3.1854
  0.2512       2.6422       1.8378       3.4903
  0.2559       2.6174       1.5050       3.7953
  0.2606       2.5927       1.7917       3.7435
  0.2651       2.5679       2.0784       3.6916
  0.2693       2.5430       2.3650       3.6397
  0.2736       2.5180       2.3418       3.5601
  0.2778       2.4928       2.3184       3.4804
  0.2820       2.4674       2.2947       3.4004
  0.2865       2.4417       1.5302       8.1607
  0.2912       2.4157      0.76521       12.922
  0.2959       2.3893       0.0000       17.681
  0.3006       2.3626   0.00044577       17.480
  0.3053       2.3354   0.00045641       17.279
  0.3102       2.3077       0.0000       17.077
  0.3152       2.2796   0.00033617       16.867
  0.3201       2.2511   0.00030726       16.656
  0.3251       2.2223       0.0000       16.445
  0.3304       2.1934      0.61392       11.773
  0.3360       2.1643       1.2277       7.1014
  0.3417       2.1352       1.8416       2.4287
  0.3474       2.1061       1.8626       2.3496
  0.3524       2.0771       1.8837       2.2706
  0.3567       2.0483       1.9049       2.1917
  0.3610       2.0197       1.4987       2.5407
  0.3653       1.9914       1.0928       2.8901
  0.3699       1.9635      0.68723       3.2398
  0.3749       1.9360      0.45766       6.8028
  0.3799       1.9089      0.22858       10.366
  0.3849       1.8823       0.0000       13.929
  0.3907       1.8562       0.0000       9.9399
  0.3966       1.8308       0.0000       5.9519
  0.4025       1.8058       0.0000       1.9638
  0.4082       1.7814      0.45603       1.9272
  0.4130       1.7575      0.91259       1.8911
  0.4177       1.7342       1.3697       1.8556
  0.4225       1.7114       1.1836       1.8312
  0.4281       1.6890      0.99792       1.8073
  0.4338       1.6672      0.81277       1.7839
  0.4394       1.6459      0.54138       5.1469
  0.4455       1.6251      0.27043       8.5108
  0.4520       1.6047       0.0000       11.875
  0.4585       1.5848       0.0000       15.029
  0.4645       1.5653       0.0000       18.184
  0.4696       1.5464       0.0000       21.340
  0.4746       1.5278      0.46207       14.795
  0.4801       1.5097      0.92458       8.2512
  0.4874       1.4920       1.3876       1.7065
  0.4946       1.4748       1.3715       1.6944
  0.5015       1.4580       1.3559       1.6826
  0.5070       1.4416       1.3407       1.6713
  0.5124       1.4256      0.89340       3.9032
  0.5181       1.4100      0.44647       6.1359
  0.5244       1.3948       0.0000       8.3686
  0.5306       1.3799       0.0000       10.353
  0.5375       1.3655       0.0000       12.338
  0.5454       1.3512       0.0000       14.323
  0.5533       1.3371      0.29722       10.015
  0.5595       1.3230      0.59445       5.7081
  0.5650       1.3089      0.89168       1.4005
  0.5704       1.2947      0.89458       1.3853
  0.5786       1.2802      0.89728       1.3698
  0.5869       1.2655      0.89970       1.3541
  0.5949       1.2505      0.60025       2.8536
  0.6023       1.2350      0.30034       4.3529
  0.6096       1.2190       0.0000       5.8514
  0.6166       1.2026      0.36261       4.5853
  0.6236       1.1855      0.72469       3.3184
  0.6307       1.1678       1.0861       2.0510
  0.6396       1.1495       1.0691       1.9106
  0.6484       1.1304       1.0513       1.7694
  0.6566       1.1103       1.0326       1.6273
  0.6644       1.0889      0.86362       2.8636
  0.6726       1.0658      0.69299       4.0982
  0.6821       1.0407      0.52034       5.3310
  0.6916       1.0134      0.64426       3.9579
  0.7007      0.98363      0.76579       2.5821
  0.7096      0.95136      0.88476       1.2041
  0.7185      0.91649      0.85252       1.1348
  0.7272      0.87903      0.81768       1.0629
  0.7362      0.83903      0.78030      0.98848
  0.7473      0.79642      0.74085       1.8946
  0.7583      0.75128      0.69886       2.7981
  0.7684      0.70377      0.65451       3.6992
  0.7784      0.65423      0.60853       2.8077
  0.7893      0.60309      0.56096       1.9147
  0.8008      0.55091      0.51234       1.0205
  0.8119      0.49832      0.46331      0.82068
  0.8225      0.44672      0.41525      0.62187
  0.8336      0.39885      0.37093      0.42677
  0.8463      0.35672      0.33126      0.38217
  0.8589      0.32139      0.29839      0.34439
  0.8714      0.29339      0.27285      0.31392
  0.8837      0.27290      0.25254      0.29326
  0.8955      0.25988      0.23970      0.28006
  0.9071      0.25242      0.23242      0.27242
  0.9205      0.24811      0.22811      0.26811
  0.9342      0.24435      0.22435      0.26435
  0.9478      0.23126      0.21126      0.25126
  0.9614      0.19637      0.17637      0.21637
  0.9758      0.13964      0.11964      0.15964
  0.9944     0.090225     0.070225      0.11023
  1.0000     0.067565     0.047565     0.087565
  1.0000     0.056953     0.036953     0.076953
  1.0000     0.048144     0.028144     0.068144
  1.0000     0.039882     0.019882     0.059882
  1.0000     0.032793     0.012793     0.052793
  1.0000     0.027374    0.0073737     0.047374
  1.0000     0.023031    0.0030312     0.043031
  1.0000     0.019260       0.0000     0.039260
  1.0000     0.015811       0.0000     0.035811
  1.0000     0.012727       0.0000     0.032727
  1.0000     0.010079       0.0000     0.030079
  1.0000    0.0078777       0.0000     0.027878
  1.0000    0.0060982       0.0000     0.034778
  1.0000    0.0046905       0.0000     0.042049
  1.0000    0.0035968       0.0000     0.049636
  1.0000    0.0027653       0.0000      0.12047
  1.0000    0.0021481       0.0000      0.19153
  1.0000    0.0016996       0.0000      0.26275
  1.0000    0.0013805       0.0000       4.6210
  1.0000    0.0011605       0.0000       8.9800
  1.0000    0.0010176       0.0000       13.338
  1.0000   0.00093817       0.0000       13.025
  1.0000   0.00091635       0.0000       12.711
  1.0000   0.00094577       0.0000       12.397
  1.0000    0.0010189       0.0000       13.851
  1.0000    0.0011313       0.0000       15.304
  1.0000    0.0012784       0.0000       16.757
  1.0000    0.0014515       0.0000       15.115
  1.0000    0.0016353       0.0000       13.473
  1.0000    0.0018050       0.0000       11.831
  1.0000    0.0019273       0.0000       12.035
  1.0000    0.0019656       0.0000       12.240
  1.0000    0.0018985       0.0000       12.444
  1.0000    0.0017539       0.0000       14.377
  1.0000    0.0015734       0.0000       16.309
  1.0000    0.0013916       0.0000       18.242
  1.0000    0.0012319       0.0000       16.655
  1.0000    0.0011083       0.0000       15.069
  1.0000    0.0010286       0.0000       13.483
  1.0000    0.0010000       0.0000       13.483
Profile: 0/IDA/ne Time: @4.000000 Scale: 1.00000e+19
rho toroidal     Data        Lower        Upper
  0.0000       9.5209       1.4281       11.306
  0.0042       9.5212       3.5704       10.830
  0.0084       9.5219       4.8800       10.534
  0.0126       9.5231       5.8924       10.356
  0.0168       9.5247       6.3101       10.239
  0.0210       9.5267       6.6687       10.182
  0.0252       9.5291       6.7895       10.125
  0.0294       9.5318       6.9701       10.128
  0.0336       9.5348       6.9723       10.101
  0.0378       9.5380       6.9747       10.104
  0.0420       9.5416       6.9773       10.108
  0.0462       9.5453       6.9203       10.142
  0.0504       9.5492       6.8933       10.146
  0.0546       9.5533       6.8067       10.150
  0.0588       9.5575       6.8695       10.155
  0.0630       9.5618       6.8128       10.159
  0.0672       9.5662       6.6963       10.164
  0.0714       9.5706       6.6396       10.109
  0.0756       9.5750       6.6427       10.054
  0.0799       9.5794       6.8253       10.028
  0.0841       9.5837       7.3974       10.003
  0.0883       9.5880       8.3895       10.067
  0.0925       9.5921       8.9027       10.042
  0.0967       9.5962       9.0564       9.9560
  0.1009       9.6000       9.1200       9.8550
  0.1051       9.6036       9.1985       9.8062
  0.1090       9.6070       9.2543       9.7722
  0.1128       9.6102       9.3023       9.7528
  0.1167       9.6130       9.3276       9.7407
  0.1205       9.6155       9.3075       9.7357
