Profile: 0/IDA/Te Time: @3.999330 Scale: 1000.00
rho toroidal     Data        Lower        Upper
  0.0000       3.6211       3.3676       3.8746
  0.0044       3.6202       3.3669       3.8735
  0.0087       3.6176       3.3645       3.8707
  0.0131       3.6134       3.3604       3.8663
  0.0174       3.6075       3.3551       3.8599
  0.0218       3.6001       3.3482       3.8520
  0.0262       3.5913       3.3399       3.8427
  0.0305       3.5811       3.3305       3.8673
  0.0349       3.5697       3.3199       3.8906
  0.0393       3.5570       3.3080       3.9127
  0.0436       3.5432       3.2952       3.8727
  0.0480       3.5283       3.2814       3.8317
  0.0523       3.5125       3.2666       3.7896
  0.0567       3.4957       3.2511       3.7814
  0.0611       3.4782       3.2347       3.7724
  0.0654       3.4598       3.2176       3.7626
  0.0698       3.4408       3.2000       3.7220
  0.0742       3.4212       3.1818       3.6809
  0.0785       3.4011       3.1630       3.6392
  0.0829       3.3805       3.1439       3.6171
  0.0872       3.3596       3.1244       3.5947
  0.0916       3.3383       3.1046       3.5720
  0.0960       3.3168       3.0846       3.5489
  0.1003       3.2950       3.0644       3.5257
  0.1047       3.2732       3.0441       3.5023
  0.1091       3.2513       2.5657       3.4789
  0.1134       3.2294       2.0872       3.4554
  0.1178       3.2074       1.6087       3.4319
  0.1222       3.1854       2.0341       3.4084
  0.1266       3.1634       2.4595       3.3848
  0.1309       3.1414       2.8849       3.3612
  0.1353       3.1194       2.8766       3.5363
  0.1397       3.0974       2.8684       3.7113
  0.1441       3.0754       2.8602       3.8863
  0.1484       3.0535       2.8398       3.6644
  0.1528       3.0317       2.8195       3.4425
  0.1572       3.0099       2.7992       3.2206
  0.1617       2.9882       2.7791       3.2023
  0.1661       2.9666       2.7590       3.1841
  0.1705       2.9451       2.7390       3.1660
  0.1750       2.9237       2.7191       3.1382
  0.1794       2.9024       2.6993       3.1105
  0.1838       2.8813       2.6796       3.0830
  0.1883       2.8602       2.6600       3.0605
  0.1927       2.8393       2.6406       3.0381
  0.1972       2.8186       2.6213       3.0159
  0.2017       2.7980       2.5946       2.9938
  0.2062       2.7775       2.5682       2.9720
  0.2106       2.7573       2.5419       2.9503
  0.2151       2.7371       2.5306       2.9288
  0.2196       2.7171       2.5195       2.9073
  0.2241       2.6972       2.5084       2.8860
  0.2288       2.6772       2.4497       2.8646
  0.2334       2.6572       2.3910       2.8432
  0.2380       2.6371       2.3322       2.8217
  0.2426       2.6168       2.3535       2.8056
  0.2473       2.5964       2.3745       2.7894
  0.2519       2.5757       2.3954       2.7729
  0.2566       2.5547       2.3759       2.7908
  0.2612       2.5334       2.3561       2.8085
  0.2659       2.5118       2.3359       2.8257
  0.2705       2.4897       2.3155       2.7561
  0.2753       2.4672       2.2946       2.6860
  0.2804       2.4443       2.2732       2.6154
  0.2855       2.4208       2.2514       2.5903
  0.2906       2.3969       2.2291       2.5646
  0.2957       2.3723       2.2063       2.5384
  0.3006       2.3472       2.1830       2.5512
  0.3054       2.3215       2.1591       2.5634
  0.3103       2.2952       2.1346       2.5750
  0.3151       2.2683       2.1095       2.5064
  0.3199       2.2407       2.0839       2.4371
  0.3245       2.2124       2.0575       2.3672
  0.3291       2.1835       2.0307       2.3363
  0.3338       2.1541       2.0033       2.3048
  0.3384       2.1242       1.9755       2.2729
  0.3437       2.0941       1.9475       2.2864
  0.3498       2.0638       1.9193       2.2997
  0.3559       2.0333       1.8910       2.3129
  0.3619       2.0029       1.8627       2.2346
  0.3673       1.9725       1.8344       2.1563
  0.3716       1.9423       1.8063       2.0782
  0.3759       1.9123       1.6805       2.0462
  0.3802       1.8826       1.5549       2.0144
  0.3852       1.8533       1.4298       1.9830
  0.3906       1.8244       1.4997       1.9521
  0.3961       1.7960       1.5701       1.9217
  0.4016       1.7681       1.6411       1.8919
  0.4068       1.7409       1.6168       1.8628
  0.4120       1.7143       1.5931       1.8343
  0.4173       1.6882       1.5700       1.8063
  0.4227       1.6626       1.5462       1.9614
  0.4291       1.6375       1.5228       2.1170
  0.4355       1.6128       1.4999       2.2730
  0.4419       1.5885       1.4773       2.0646
  0.4473       1.5645       1.4550       1.8565
  0.4526       1.5408       1.4330       1.6487
  0.4579       1.5174       1.4112       1.6529
  0.4633       1.4942       1.3896       1.6574
  0.4687       1.4713       1.3683       1.6621
  0.4742       1.4485       1.3471       1.6084
  0.4801       1.4258       1.3260       1.5549
  0.4869       1.4033       1.3050       1.5015
  0.4937       1.3808       1.2842       1.4775
  0.5002       1.3585       1.2634       1.4536
  0.5054       1.3362       1.2426       1.4297
  0.5106       1.3139       1.2219       1.4424
  0.5161       1.2916       1.2012       1.4551
  0.5230       1.2694       1.1805       1.4677
  0.5298       1.2471       1.1598       1.4074
  0.5366       1.2249       1.1391       1.3471
  0.5432       1.2026       1.1184       1.2867
  0.5498       1.1802       1.0976       1.2683
  0.5562       1.1579       1.0769       1.2499
  0.5622       1.1359       1.0564       1.2317
  0.5683       1.1142      0.98632       1.2031
  0.5752       1.0930      0.91680       1.1750
  0.5827       1.0725      0.84792       1.1475
  0.5902       1.0527      0.87931       1.1265
  0.5977       1.0338      0.91157       1.1063
  0.6052       1.0159      0.94482       1.0871
  0.6122      0.99912      0.92910       1.0691
  0.6183      0.98347      0.91454       1.0524
  0.6244      0.96907      0.90124       1.0369
  0.6321      0.95601      0.88898       1.0319
  0.6405      0.94435      0.87814       1.0283
  0.6487      0.93419      0.86879       1.0261
  0.6564      0.92559      0.86069       1.0083
  0.6640      0.91864      0.85423      0.99209
  0.6721      0.91313      0.84921      0.97734
  0.6803      0.90875      0.84509      0.97260
  0.6886      0.90516      0.84175      0.96865
  0.6972      0.90203      0.83889      0.96517
  0.7058      0.89905      0.83614      0.96197
  0.7135      0.89592      0.83323      0.95860
  0.7210      0.89231      0.82985      0.95477
  0.7296      0.88794      0.82586      0.95001
  0.7394      0.88250      0.82081      0.94418
  0.7492      0.87569      0.81439      0.93698
  0.7587      0.86714      0.80659      0.92769
  0.7682      0.85650      0.79671      0.91630
  0.7785      0.84346      0.78442      0.90251
