Profile: 0/IDA/Te Time: @3.999540 Scale: 1000.00
rho toroidal     Data        Lower        Upper
  0.9038      0.28494      0.26494      0.30494
  0.9152      0.27012      0.25012      0.29012
  0.9263      0.25844      0.23844      0.27844
  0.9396      0.24827      0.22827      0.26827
  0.9549      0.22832      0.20832      0.24832
  0.9721      0.19000      0.17000      0.21000
  0.9892      0.13853      0.11853      0.15853
  1.0000     0.097755     0.077755      0.11775
  1.0000     0.072399     0.052399     0.092399
  1.0000     0.054839     0.034839     0.074839
  1.0000     0.042188     0.022188     0.062188
  1.0000     0.032954     0.012954     0.052954
  1.0000     0.025591    0.0055909     0.045591
  1.0000     0.019417       0.0000     0.039417
  1.0000     0.014221       0.0000     0.034221
  1.0000    0.0099376       0.0000     0.029938
  1.0000    0.0066355       0.0000     0.026636
  1.0000    0.0042988       0.0000     0.024299
  1.0000    0.0027457       0.0000     0.022746
  1.0000    0.0017568       0.0000     0.056817
  1.0000    0.0011442       0.0000     0.091264
  1.0000   0.00077081       0.0000      0.12595
  1.0000   0.00054322       0.0000       1.2464
  1.0000   0.00040085       0.0000       2.3672
  1.0000   0.00030963       0.0000       3.4880
  1.0000   0.00025028       0.0000       8.8652
  1.0000   0.00021162       0.0000       14.242
  1.0000   0.00018711       0.0000       19.620
  1.0000   0.00017294       0.0000       18.958
  1.0000   0.00016702       0.0000       18.297
  1.0000   0.00016818       0.0000       17.636
  1.0000   0.00017573       0.0000       15.428
  1.0000   0.00018957       0.0000       13.221
  1.0000   0.00021008       0.0000       11.015
  1.0000   0.00023798       0.0000       12.931
  1.0000   0.00027420       0.0000       14.847
  1.0000   0.00031972       0.0000       16.763
  1.0000   0.00037541       0.0000       15.703
  1.0000   0.00044166       0.0000       14.642
  1.0000   0.00051807       0.0000       13.582
  1.0000   0.00060316       0.0000       12.485
  1.0000   0.00069387       0.0000       11.389
  1.0000   0.00078522       0.0000       10.293
  1.0000   0.00087024       0.0000       11.171
  1.0000   0.00094034       0.0000       12.050
  1.0000   0.00098629       0.0000       12.928
  1.0000    0.0010000       0.0000       12.988
  1.0000    0.0010000       0.0000       13.048
  1.0000    0.0010000       0.0000       13.108
  1.0000    0.0010000       0.0000       13.108
Profile: 0/IDA/ne Time: @3.999540 Scale: 1.00000e+19
rho toroidal     Data        Lower        Upper
  0.0000       8.9901       0.0000       10.339
  0.0044       8.9904      0.33714       9.8895
  0.0089       8.9912       2.4726       9.7218
  0.0133       8.9925       3.8218       9.5545
  0.0178       8.9943       4.6939       9.4440
  0.0222       8.9964       5.1167       9.4182
  0.0267       8.9990       5.3432       9.3927
  0.0311       9.0019       5.5418       9.3677
  0.0356       9.0052       5.6001       9.3710
  0.0400       9.0088       5.6305       9.3747
  0.0445       9.0126       5.5765       9.3787
  0.0489       9.0166       5.5227       9.4111
  0.0534       9.0208       5.4407       9.4155
  0.0578       9.0252       5.3587       9.4200
  0.0623       9.0297       5.2485       9.3965
  0.0667       9.0343       5.0535       9.4013
  0.0712       9.0389       5.1126       9.3496
  0.0756       9.0436       5.3131       9.3262
  0.0801       9.0482       5.7400       9.3027
  0.0845       9.0528       6.1955       9.2791
  0.0890       9.0573       6.6232       9.2696
  0.0934       9.0617       7.0087       9.2600
  0.0979       9.0660       7.1678       9.2501
  0.1023       9.0701       7.2277       9.2401
  0.1068       9.0739       7.2591       9.2440
  0.1113       9.0775       7.2478       9.2477
  0.1163       9.0808       7.4633       9.2936
  0.1213       9.0838       8.1186       9.4244
  0.1262       9.0864       8.6605       9.7679
  0.1312       9.0886       8.8898       10.168
  0.1361       9.0904       8.9626       10.255
