 0.00000000E+00 0.87400950E+19 0.88043412E+19 0.87400950E+19 0.88043412E+19 0.79621595E+06 0.80047469E+06 0.95483114E+06 0.96055362E+06 0.10006569E+01 0.10000000E+01 0.12308105E-07 0.00000000E+00
 0.50251256E-02 0.87400950E+19 0.88041391E+19 0.87400950E+19 0.88041391E+19 0.79621595E+06 0.80045448E+06 0.95483114E+06 0.96052937E+06 0.10006569E+01 0.10000202E+01 0.20053575E-04 0.20211476E-04
 0.10050251E-01 0.87395605E+19 0.88035327E+19 0.87395605E+19 0.88035327E+19 0.79616194E+06 0.80039385E+06 0.95476645E+06 0.96045661E+06 0.10004815E+01 0.10000808E+01 0.80177374E-04 0.80845903E-04
 0.15075377E-01 0.87385984E+19 0.88025222E+19 0.87385984E+19 0.88025222E+19 0.79606472E+06 0.80029279E+06 0.95465002E+06 0.96033534E+06 0.10004880E+01 0.10001819E+01 0.18039993E-03 0.18190328E-03
 0.20100503E-01 0.87372240E+19 0.88011074E+19 0.87372240E+19 0.88011074E+19 0.79592583E+06 0.80015131E+06 0.95448368E+06 0.96016556E+06 0.10005637E+01 0.10003234E+01 0.32071150E-03 0.32338361E-03
 0.25125628E-01 0.87354424E+19 0.87992883E+19 0.87354424E+19 0.87992883E+19 0.79574580E+06 0.79996941E+06 0.95426805E+06 0.95994728E+06 0.10006915E+01 0.10005053E+01 0.50111209E-03 0.50528690E-03
 0.30150754E-01 0.87332558E+19 0.87970651E+19 0.87332558E+19 0.87970651E+19 0.79552484E+06 0.79974708E+06 0.95400342E+06 0.95968049E+06 0.10008656E+01 0.10007276E+01 0.72160170E-03 0.72761313E-03
 0.35175879E-01 0.87306655E+19 0.87944376E+19 0.87306655E+19 0.87944376E+19 0.79526309E+06 0.79948433E+06 0.95368993E+06 0.95936519E+06 0.10010836E+01 0.10009904E+01 0.98218032E-03 0.99036232E-03
 0.40201005E-01 0.87276724E+19 0.87914059E+19 0.87276724E+19 0.87914059E+19 0.79496063E+06 0.79918116E+06 0.95332767E+06 0.95900138E+06 0.10013443E+01 0.10012935E+01 0.12828480E-02 0.12935345E-02
 0.45226131E-01 0.87242767E+19 0.87879699E+19 0.87242767E+19 0.87879699E+19 0.79461750E+06 0.79883756E+06 0.95291671E+06 0.95858907E+06 0.10016469E+01 0.10016371E+01 0.16236046E-02 0.16371295E-02
 0.50251256E-01 0.87204789E+19 0.87841297E+19 0.87204789E+19 0.87841297E+19 0.79423373E+06 0.79845355E+06 0.95245708E+06 0.95812825E+06 0.10019910E+01 0.10020211E+01 0.20044503E-02 0.20211476E-02
 0.55276382E-01 0.87162793E+19 0.87798853E+19 0.87162793E+19 0.87798853E+19 0.79380934E+06 0.79802911E+06 0.95194880E+06 0.95761892E+06 0.10023764E+01 0.10024456E+01 0.24253850E-02 0.24455886E-02
 0.60301508E-01 0.87116779E+19 0.87752367E+19 0.87116779E+19 0.87752367E+19 0.79334437E+06 0.79756424E+06 0.95139191E+06 0.95706108E+06 0.10028028E+01 0.10029105E+01 0.28864087E-02 0.29104525E-02
 0.65326633E-01 0.87066750E+19 0.87701838E+19 0.87066750E+19 0.87701838E+19 0.79283881E+06 0.79705895E+06 0.95078641E+06 0.95645474E+06 0.10032700E+01 0.10034157E+01 0.33875214E-02 0.34157394E-02
