te_value,ti_value,te_ddrho,ti_ddrho,te_transp_flux,ti_transp_flux
1422.22860924657,769.4745745488223,-3138.03503336047,-2420.64001419732,107403.393587765,-2008934.849308
479.5559824375506,769.4745745488223,-3138.03503336047,-2420.64001419732,62265.8904884188,595720.799415307
479.5559824375506,1055.70203901776,-3138.03503336047,-2420.64001419732,117097.867437805,1509079.71953588
479.5559824375506,1341.929503486698,-3138.03503336047,-2420.64001419732,189029.487361864,2792598.97552845
479.5559824375506,1055.70203901776,-3138.03503336047,-2420.64001419732,62265.8904884188,1100931.97784449
479.5559824375506,452.4802252061361,-3138.03503336047,-2420.64001419732,189029.487361864,94124.7803282569
1422.22860924657,769.4745745488223,-3138.03503336047,-2420.64001419732,326454.87535416,-3441864.0814962
479.5559824375506,1341.929503486698,-3138.03503336047,-2420.64001419732,62265.8904884188,1659742.67717017
815.5188116571696,1341.929503486698,-3138.03503336047,-2420.64001419732,81280.1676916107,1318479.68530713
815.5188116571696,769.4745745488223,-3138.03503336047,-2420.64001419732,81280.1676916107,-23820.0976304462
479.5559824375506,1658.923852829384,-3138.03503336047,-2420.64001419732,62265.8904884188,2221180.01459644
479.5559824375506,452.4802252061361,-3138.03503336047,-2420.64001419732,62265.8904884188,-1449.55194196612
1118.87371045187,1341.929503486698,-3138.03503336047,-2420.64001419732,442146.396629519,1559663.70435051
1118.87371045187,769.4745745488223,-3138.03503336047,-2420.64001419732,442146.396629519,-1827208.74650889
1422.22860924657,1658.923852829384,-3138.03503336047,-2420.64001419732,326454.87535416,1385326.23426909
815.5188116571696,1658.923852829384,-3138.03503336047,-2420.64001419732,28122.3651963856,1263358.37476269
1422.22860924657,1055.70203901776,-3138.03503336047,-2420.64001419732,326454.87535416,-1869316.76612595
815.5188116571696,769.4745745488223,-3138.03503336047,-2420.64001419732,28122.3651963856,-42935.6258573309
1422.22860924657,452.4802252061361,-3138.03503336047,-2420.64001419732,326454.87535416,-5129733.40257447
815.5188116571696,1658.923852829384,-3138.03503336047,-2420.64001419732,81280.1676916107,2074686.86787872
815.5188116571696,1055.70203901776,-3138.03503336047,-2420.64001419732,81280.1676916107,658991.015342027
1118.87371045187,769.4745745488223,-3138.03503336047,-2420.64001419732,179205.901058328,-1238708.56050345
815.5188116571696,452.4802252061361,-3138.03503336047,-2420.64001419732,81280.1676916107,-756704.837194666
479.5559824375506,1341.929503486698,-3138.03503336047,-2420.64001419732,21552.5129808873,955940.78517163
1758.19143846619,769.4745745488223,-3138.03503336047,-2420.64001419732,224761.205259659,-4627538.54346535
479.5559824375506,769.4745745488223,-3138.03503336047,-2420.64001419732,21552.5129808873,350659.125759323
1118.87371045187,1658.923852829384,-3138.03503336047,-2420.64001419732,442146.396629519,3467715.32318386
1758.19143846619,1658.923852829384,-3138.03503336047,-2420.64001419732,363070.187776027,-386220.454422973
1118.87371045187,1341.929503486698,-3138.03503336047,-2420.64001419732,32947.6625008637,410027.569730713
1118.87371045187,1055.70203901776,-3138.03503336047,-2420.64001419732,442146.396629519,-104349.086496075
1758.19143846619,1055.70203901776,-3138.03503336047,-2420.64001419732,363070.187776027,-4012326.75514595
1118.87371045187,769.4745745488223,-3138.03503336047,-2420.64001419732,32947.6625008637,-515275.936638384
815.5188116571696,452.4802252061361,-3138.03503336047,-2420.64001419732,152913.846780798,-1101589.49321734
479.5559824375506,452.4802252061361,-3138.03503336047,-2420.64001419732,288591.491493786,35293.4204637236
1422.22860924657,452.4802252061361,-3138.03503336047,-2420.64001419732,202106.074651299,-4125901.11158624
1118.87371045187,452.4802252061361,-3138.03503336047,-2420.64001419732,442146.396629519,-3670087.98561684
1758.19143846619,452.4802252061361,-3138.03503336047,-2420.64001419732,363070.187776027,-7632011.8464328
1118.87371045187,1658.923852829384,-3138.03503336047,-2420.64001419732,95241.6784137746,1637738.93901034
815.5188116571696,1341.929503486698,-3138.03503336047,-2420.64001419732,246939.917189407,2337543.79569587
815.5188116571696,1055.70203901776,-3138.03503336047,-2420.64001419732,28122.3651963856,358820.496559784
1758.19143846619,1055.70203901776,-3138.03503336047,-2420.64001419732,554708.773269653,-5188190.74859975
1118.87371045187,1055.70203901776,-3138.03503336047,-2420.64001419732,95241.6784137746,-18193.7010269404
815.5188116571696,769.4745745488223,-3138.03503336047,-2420.64001419732,246939.917189407,-866.960524229662
1758.19143846619,1658.923852829384,-3138.03503336047,-2420.64001419732,119435.813288271,-187301.116072656
1758.19143846619,452.4802252061361,-3138.03503336047,-2420.64001419732,554708.773269653,-9661701.48081211
1118.87371045187,1658.923852829384,-3138.03503336047,-2420.64001419732,179205.901058328,2129600.31838585
815.5188116571696,1658.923852829384,-3138.03503336047,-2420.64001419732,377161.498072299,4621417.7095894
