N1,N2,N3,s2,s3,d2,d3,alpha,dt,NITER,flux_mean,flux_std,flux_ref,Te_0_mean_all,Te_0_std_all,Te_0_mean_50%,Te_0_std_50%
10,90,30,0.02,0.02,10,10,0.01,0.01,1000,27235.628172131157,1190.0737672222256,27305.779091160664,4235.053397633507,159.33510779421326,4273.0304987434765,22.150993271516892
10,90,30,0.05,0.05,10,10,0.01,0.01,1000,27249.461287223847,1589.5249403123248,27305.779091160664,4234.167673697022,167.347809208148,4274.7273975927355,51.41488674602634
10,90,30,0.05,0.05,10,10,0.01,0.01,1000,27248.506270234142,1623.8345505014718,27305.779091160664,4235.840967719361,175.61000211925383,4265.260024593506,54.491815452942866
10,90,30,0.001,0.001,10,10,0.01,0.01,1000,27243.967665717773,1088.2240558288747,27305.779091160664,4232.953762122071,156.4815609970687,4269.634290723054,1.091557321704951
10,90,30,0.001,0.001,10,10,0.01,0.01,1000,27243.559465092712,1088.3378333251092,27305.779091160664,4233.0109700992125,156.4887755493077,4269.761312497836,0.9737220109888474
10,90,30,0.0001,0.0001,10,10,0.01,0.01,1000,27243.42459857106,1087.8825781807839,27305.779091160664,4233.036465245765,156.45164521847406,4269.757518062554,0.11700275292339785
10,90,30,0.0001,0.0001,10,10,0.01,0.01,1000,27243.46481535252,1087.8897005408776,27305.779091160664,4233.033545042788,156.46743257472988,4269.72134027785,0.1043554347606676
10,90,30,100.0,100.0,10,10,0.01,0.01,1000,5.275680140875498e+123,1.6672005685658273e+125,27305.779091160664,1611.9355172685148,2217.784456241087,1487.6097414223618,2054.9981115049527
10,90,30,100.0,100.0,10,10,0.01,0.01,1000,4.2399035642464984e+127,1.3401046769516197e+129,27305.779091160664,1866.45862292823,2548.254967721766,1916.3648261810715,2579.148928571173
10,90,30,1.0,1.0,10,10,0.001,0.01,1000,29310.52297556951,9048.38033642184,27305.779091160664,4279.834725017936,1395.334504750207,3786.9317257241946,466.999280138728
10,90,30,1.0,1.0,10,10,0.001,0.01,1000,26785.322844692346,8255.237113551428,27305.779091160664,4572.4398716945125,1276.7080301476528,4270.871426816076,578.1709393064098
10,90,30,1.0,1.0,10,10,0.1,0.01,1000,386202.2023497543,2926386.155933948,27305.779091160664,2013.9516950147672,1173.4837337207289,1844.3831562570806,1062.4163519058138
10,90,30,1.0,1.0,10,10,0.1,0.01,1000,268605.776659654,1474529.0009070965,27305.779091160664,2170.352695463543,1216.3892742813441,2022.9789943354974,1190.895591477905
10,90,30,0.2,0.2,10,10,0.1,0.01,1000,30629.459415862966,14030.702676783132,27305.779091160664,3902.61863630538,426.60298585798955,3991.7002135093812,414.17473469512873
10,90,30,0.2,0.2,10,10,0.1,0.01,1000,30563.599805763388,14615.083915739948,27305.779091160664,3920.321345932148,422.4045462560688,3983.5736838040725,417.9473730847749
10,90,30,0.2,0.2,10,10,0.001,0.01,1000,26492.140224812323,4146.97171899493,27305.779091160664,4506.281708239398,1153.7800748177353,4286.176701773169,127.56313534955042
