NPSI
  40
MMX
   6
R0EXP
    9.0316560000E-01
B0EXP
    1.4183786000E+00
Raxis
    8.9769709505E-01
PSI
    1.0688968940E-04    4.2526003129E-04    9.5083667962E-04    1.6778801177E-03    2.5985439551E-03
    3.7018747983E-03    4.9723263288E-03    6.3874215692E-03    7.9142605786E-03    9.5051618736E-03
    1.1093651245E-02    1.2596676490E-02    1.3934117077E-02    1.5063258070E-02    1.5998937368E-02
    1.6799248411E-02    1.7531359818E-02    1.8255493704E-02    1.9086940112E-02    2.0057354460E-02
    2.1132776010E-02    2.2232825923E-02    2.3340567806E-02    2.4475239291E-02    2.5658028698E-02
    2.6872524815E-02    2.8021725774E-02    2.9049626895E-02    2.9979662648E-02    3.0955055593E-02
    3.1964656650E-02    3.3055990832E-02    3.4244876924E-02    3.5508275150E-02    3.6796692690E-02
    3.8043574458E-02    3.9185980061E-02    4.0168433014E-02    4.0948266654E-02    4.1494342766E-02
Rgeom
    8.9767008545E-01    8.9759016053E-01    8.9746053309E-01    8.9728574523E-01    8.9707086363E-01
    8.9681892368E-01    8.9652851147E-01    8.9619453477E-01    8.9581249386E-01    8.9538412627E-01
    8.9492252195E-01    8.9445395905E-01    8.9401136344E-01    8.9361940802E-01    8.9328213575E-01
    8.9298479826E-01    8.9270569149E-01    8.9242296109E-01    8.9209014572E-01    8.9169057431E-01
    8.9123360602E-01    8.9075049324E-01    8.9024759900E-01    8.8971491861E-01    8.8914009735E-01
    8.8852823590E-01    8.8792816526E-01    8.8737327217E-01    8.8685571368E-01    8.8629634505E-01
    8.8569839940E-01    8.8502874096E-01    8.8426990830E-01    8.8342609087E-01    8.8252022426E-01
    8.8159292754E-01    8.8069103029E-01    8.7986707947E-01    8.7917634601E-01    8.7866958005E-01
amin
    9.7685099799E-03    1.9722796221E-02    2.9936269308E-02    4.0458259066E-02    5.1285642033E-02
    6.2342370521E-02    7.3488371329E-02    8.4543115009E-02    9.5302093674E-02    1.0553604840E-01
    1.1498212651E-01    1.2335758794E-01    1.3043992054E-01    1.3619562866E-01    1.4083401492E-01
    1.4471957339E-01    1.4821570154E-01    1.5162487351E-01    1.5548601820E-01    1.5992950261E-01
    1.6478601214E-01    1.6969212882E-01    1.7458104258E-01    1.7954602412E-01    1.8468617355E-01
    1.8993708852E-01    1.9488959239E-01    1.9931266505E-01    2.0331385553E-01    2.0751374823E-01
    2.1186920532E-01    2.1659239421E-01    2.2176217697E-01    2.2729306765E-01    2.3298420665E-01
    2.3855283030E-01    2.4372022160E-01    2.4822502850E-01    2.5184727999E-01    2.5441260779E-01
damindpsi
    3.5730434748E+01    2.1514263796E+01    1.5668907914E+01    1.2551518422E+01    1.0601280205E+01
    9.2279957537E+00    8.1801986556E+00    7.3471484188E+00    6.6760993408E+00    6.1388398749E+00
    5.7189577905E+00    5.4028058304E+00    5.1740804245E+00    5.0123127042E+00    4.8966608643E+00
    4.8093264254E+00    4.7377422900E+00    4.6738513739E+00    4.6088595697E+00    4.5435997377E+00
    4.4830719727E+00    4.4320315568E+00    4.3903459199E+00    4.3567646875E+00    4.3307344985E+00
    4.3129535064E+00    4.3034462366E+00    4.3004050152E+00    4.3018220591E+00    4.3073746753E+00
    4.3180812292E+00    4.3341901205E+00    4.3582991601E+00    4.3923109892E+00    4.4361815870E+00
    4.4899154230E+00    4.5520172760E+00    4.6138221152E+00    4.6759835469E+00    4.7195118984E+00
Bmax
    1.4429660261E+00    1.4592512332E+00    1.4762109791E+00    1.4939151293E+00    1.5124059000E+00
    1.5316612972E+00    1.5515732149E+00    1.5719408780E+00    1.5924633239E+00    1.6127116443E+00
    1.6320863428E+00    1.6498387401E+00    1.6652763392E+00    1.6781100920E+00    1.6886409314E+00
    1.6975928993E+00    1.7057503475E+00    1.7137998899E+00    1.7230319044E+00    1.7338114702E+00
    1.7457887751E+00    1.7581036452E+00    1.7705992855E+00    1.7835279722E+00    1.7971772635E+00
    1.8114111070E+00    1.8251168801E+00    1.8375977405E+00    1.8490906003E+00    1.8613678160E+00
    1.8743384716E+00    1.8886868763E+00    1.9047413070E+00    1.9223338257E+00    1.9409007987E+00
